window,horizon,proof_unit_type,sample_count,valid_count,invalid_count,hold_median,hold_p10,hold_p5,hold_p1,hold_win_rate,risk_median,risk_p10,risk_p5,risk_p1,risk_win_rate,no_entry_quarantine_count,opportunity_count,loss_saved_median,loss_saved_p10,tail_improvement_p10,tail_improvement_p5,tail_improvement_p1,false_exit_rate,missed_profit_rate,fee_proxy_median,exit_cost_proxy_median,fee_proxy_vs_exit_cost_median,worst_pool_contribution,worst_event_contribution
recent_48h,2h,intent_window,355,355,0,0.13173039961142763,0.011830755333107845,0.005091848043278446,0.0006888387254775808,0.9971830985915493,0.1431769031016472,0.010598549236433996,0.004013151514209312,0.0011717908695203505,0.9971830985915493,0,354,0.0,0.0,-0.001232206096673849,-0.0010786965290691345,0.0004829521440427697,0.0,0.08450704225352113,0.09986114767501575,1.403333772100189,-1.3034726244251733,1.0,1.0
recent_48h,2h,pool_window,380,380,0,0.030610957088623006,-0.6999284120486339,-0.9526238758160293,-1.7672828269845282,0.7421052631578947,0.01994706497921307,-0.6999284120486339,-0.9179659435221919,-1.7672828269845282,0.7421052631578947,0,285,0.0,0.0,0.0,0.0346579322938374,0.0,0.0,0.039473684210526314,0.0367376208595584,1.2808291566476664,-1.2643345648072057,0.30171141491926806,0.8691847639949007
recent_48h,30m,intent_window,355,355,0,0.1441264180792814,0.011472012257740971,0.004904625321401568,0.0006888387254775808,0.9971830985915493,0.1441264180792814,0.011472012257740971,0.00416996692430871,0.0006888387254775808,0.9971830985915493,0,354,0.0,0.0,0.0,-0.0007346583970928577,0.0,0.0,0.014084507042253521,0.024778236666470378,1.3943553599905782,-1.3695771233241079,1.0,1.0
recent_48h,30m,pool_window,380,380,0,0.010882280964747536,-0.11380922303903633,-0.6850626477468185,-1.402549826640024,0.8578947368421053,0.010747454873151832,-0.11380922303903633,-0.6850626477468185,-1.402549826640024,0.8578947368421053,0,326,0.0,0.0,0.0,0.0,0.0,0.0,0.005263157894736842,0.009206497688768168,1.2971950667272678,-1.2922082484549535,0.3908851276976595,0.9371894720546776
recent_72h,15m,intent_window,384,384,0,0.2467338185726703,0.0032892951888783273,-0.007115191290225199,-0.01682085353914431,0.921875,0.2467338185726703,0.0032892951888783273,-0.007115191290225199,-0.01682085353914431,0.921875,0,354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012013095659427708,1.5541235311680284,-1.5466531119392202,1.0,1.0
recent_72h,15m,pool_window,388,388,0,0.003602014800398886,-0.05763642029926805,-0.513709483485225,-11.190912919935645,0.7628865979381443,0.003602014800398886,-0.056384970735746484,-0.513709483485225,-11.190912919935645,0.7654639175257731,0,297,0.0,0.0,0.0012514495635215644,0.0,0.0,0.0,0.0,0.006709484536178091,1.5938861996359688,-1.58547593919319,0.8103281332390768,0.9984203048751135
recent_72h,1h,intent_window,384,384,0,0.22242739462620875,0.006761423166040003,-0.005146553140932042,-0.012248665115279778,0.9322916666666666,0.22242739462620875,0.00844087402818161,-0.005146553140932042,-0.012248665115279778,0.9322916666666666,0,358,0.0,0.0,0.001679450862141608,0.0,0.0,0.0,0.0,0.04805238263771083,1.5505616270179832,-1.5042851189306132,1.0,1.0
recent_72h,1h,pool_window,388,388,0,0.009937195875864658,-0.2953070986366093,-2.4450694702550626,-11.17723729385538,0.7061855670103093,0.009937195875864658,-0.2953070986366093,-2.4450694702550626,-11.17723729385538,0.7087628865979382,0,277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027103416138702693,1.5810346508717237,-1.5423526622474042,0.7917663105397162,0.9963950101079169
recent_72h,2h,intent_window,384,384,0,0.22242739462620875,0.009658780763160735,-0.0010580118076575218,-0.012248665115279778,0.9453125,0.22242739462620875,0.011162164529039842,-0.0010580118076575218,-0.012248665115279778,0.9453125,0,363,0.0,0.0,0.0015033837658791072,0.0,0.0,0.0,0.0,0.0939007937410499,1.5434624792938525,-1.4637717806373935,1.0,1.0
recent_72h,2h,pool_window,388,388,0,0.022556184908860657,-0.5065601895967846,-2.779001423318402,-11.439118638933422,0.711340206185567,0.022556184908860657,-0.5065601895967846,-2.779001423318402,-11.439118638933422,0.7164948453608248,0,283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053495686521332755,1.569710854675465,-1.4796090025636468,0.7790124769298229,0.9936632702967375
recent_72h,30m,intent_window,384,384,0,0.2349628491718818,0.006432440981413379,-0.0060530701979502055,-0.015780513914151584,0.9270833333333334,0.2349628491718818,0.006506291708058143,-0.0060530701979502055,-0.015780513914151584,0.9270833333333334,0,356,0.0,0.0,7.385072664476463e-05,0.0,0.0,0.0,0.0,0.024026191318855417,1.5531565423192288,-1.5314584649183336,1.0,1.0
recent_72h,30m,pool_window,388,388,0,0.005752280128813957,-0.19400430373186153,-1.298985341761326,-11.196171517226217,0.7268041237113402,0.005752280128813957,-0.13956314439026166,-1.298985341761326,-11.196171517226217,0.729381443298969,0,284,0.0,0.0,0.054441159341599876,0.0,0.0,0.0,0.0,0.013547496070273314,1.5905967306531619,-1.5698676615974656,0.8408470368033082,0.9974365863033298
