pool_address,token_pair,bin_step,anchor_token,base_fee_bps,max_fee_bps,notional_usd,hold_window,hold_hours,scenario,daily_turnover,gross_fee_usd,il_lvr_cost_usd,total_cost_usd,net_ev_usd,net_ev_pct,quote_ready,real_fee_10u_usd,real_fee_20u_usd,confidence,heuristic,scope,invalid_reason
4vQaxcqAyJFcHXZg8o8XhmibJAwSW3CWDgfuRJUoE7wr,98sMhv…/EPjFWd…,50,USDC,10,1000,100,6h,6,conservative,0.005,0.000125,0.5,0.156,-0.655875,-0.6559,True,0.009227,0.018452,0.3,True,targeted_top_pool_feed,
4vQaxcqAyJFcHXZg8o8XhmibJAwSW3CWDgfuRJUoE7wr,98sMhv…/EPjFWd…,50,USDC,10,1000,100,24h,24,zero_il_lvr,0.005,0.0005,0.0,0.156,-0.1555,-0.1555,True,0.009227,0.018452,0.3,True,targeted_top_pool_feed,
4vQaxcqAyJFcHXZg8o8XhmibJAwSW3CWDgfuRJUoE7wr,98sMhv…/EPjFWd…,50,USDC,10,1000,100,24h,24,optimistic,0.005,0.0005,0.1,0.156,-0.2555,-0.2555,True,0.009227,0.018452,0.3,True,targeted_top_pool_feed,
4vQaxcqAyJFcHXZg8o8XhmibJAwSW3CWDgfuRJUoE7wr,98sMhv…/EPjFWd…,50,USDC,10,1000,100,24h,24,realistic,0.005,0.0005,0.5,0.156,-0.6555,-0.6555,True,0.009227,0.018452,0.3,True,targeted_top_pool_feed,
4vQaxcqAyJFcHXZg8o8XhmibJAwSW3CWDgfuRJUoE7wr,98sMhv…/EPjFWd…,50,USDC,10,1000,100,24h,24,conservative,0.005,0.0005,2.0,0.156,-2.1555,-2.1555,True,0.009227,0.018452,0.3,True,targeted_top_pool_feed,
4vQaxcqAyJFcHXZg8o8XhmibJAwSW3CWDgfuRJUoE7wr,98sMhv…/EPjFWd…,50,USDC,10,1000,100,7d,168,zero_il_lvr,0.005,0.0035,0.0,0.156,-0.1525,-0.1525,True,0.009227,0.018452,0.3,True,targeted_top_pool_feed,
4vQaxcqAyJFcHXZg8o8XhmibJAwSW3CWDgfuRJUoE7wr,98sMhv…/EPjFWd…,50,USDC,10,1000,100,7d,168,optimistic,0.005,0.0035,0.7,0.156,-0.8525,-0.8525,True,0.009227,0.018452,0.3,True,targeted_top_pool_feed,
4vQaxcqAyJFcHXZg8o8XhmibJAwSW3CWDgfuRJUoE7wr,98sMhv…/EPjFWd…,50,USDC,10,1000,100,7d,168,realistic,0.005,0.0035,3.5,0.156,-3.6525,-3.6525,True,0.009227,0.018452,0.3,True,targeted_top_pool_feed,
4vQaxcqAyJFcHXZg8o8XhmibJAwSW3CWDgfuRJUoE7wr,98sMhv…/EPjFWd…,50,USDC,10,1000,100,7d,168,conservative,0.005,0.0035,14.0,0.156,-14.1525,-14.1525,True,0.009227,0.018452,0.3,True,targeted_top_pool_feed,
4vQaxcqAyJFcHXZg8o8XhmibJAwSW3CWDgfuRJUoE7wr,98sMhv…/EPjFWd…,50,USDC,10,1000,500,15m,0.25,zero_il_lvr,0.005,2.6e-05,0.0,0.156,-0.155974,-0.0312,True,0.009227,0.018452,0.3,True,targeted_top_pool_feed,
4vQaxcqAyJFcHXZg8o8XhmibJAwSW3CWDgfuRJUoE7wr,98sMhv…/EPjFWd…,50,USDC,10,1000,500,15m,0.25,optimistic,0.005,2.6e-05,0.005208,0.156,-0.161182,-0.0322,True,0.009227,0.018452,0.3,True,targeted_top_pool_feed,
4vQaxcqAyJFcHXZg8o8XhmibJAwSW3CWDgfuRJUoE7wr,98sMhv…/EPjFWd…,50,USDC,10,1000,500,15m,0.25,realistic,0.005,2.6e-05,0.026042,0.156,-0.182016,-0.0364,True,0.009227,0.018452,0.3,True,targeted_top_pool_feed,
4vQaxcqAyJFcHXZg8o8XhmibJAwSW3CWDgfuRJUoE7wr,98sMhv…/EPjFWd…,50,USDC,10,1000,500,15m,0.25,conservative,0.005,2.6e-05,0.104167,0.156,-0.260141,-0.052,True,0.009227,0.018452,0.3,True,targeted_top_pool_feed,
4vQaxcqAyJFcHXZg8o8XhmibJAwSW3CWDgfuRJUoE7wr,98sMhv…/EPjFWd…,50,USDC,10,1000,500,30m,0.5,zero_il_lvr,0.005,5.2e-05,0.0,0.156,-0.155948,-0.0312,True,0.009227,0.018452,0.3,True,targeted_top_pool_feed,
4vQaxcqAyJFcHXZg8o8XhmibJAwSW3CWDgfuRJUoE7wr,98sMhv…/EPjFWd…,50,USDC,10,1000,500,30m,0.5,optimistic,0.005,5.2e-05,0.010417,0.156,-0.166365,-0.0333,True,0.009227,0.018452,0.3,True,targeted_top_pool_feed,
4vQaxcqAyJFcHXZg8o8XhmibJAwSW3CWDgfuRJUoE7wr,98sMhv…/EPjFWd…,50,USDC,10,1000,500,30m,0.5,realistic,0.005,5.2e-05,0.052083,0.156,-0.208031,-0.0416,True,0.009227,0.018452,0.3,True,targeted_top_pool_feed,
4vQaxcqAyJFcHXZg8o8XhmibJAwSW3CWDgfuRJUoE7wr,98sMhv…/EPjFWd…,50,USDC,10,1000,500,30m,0.5,conservative,0.005,5.2e-05,0.208333,0.156,-0.364281,-0.0729,True,0.009227,0.018452,0.3,True,targeted_top_pool_feed,
