pool,pool_name,size_usd,range_pct,hold_hours,rebal_rule,hedge_strategy,hedge_ratio_used,dynamic_hedge_avg,events_total,events_in_range,in_range_pct,rebalance_count,lp_fee_usd,il_usd,hedge_notional_usd,funding_apr_pct,funding_income_usd,perp_trading_fee_usd,rebal_gas_usd,residual_delta_risk_usd,gas_initial_usd,net_pnl_unhedged_usd,net_pnl_hedged_usd,signal_noise_hedged,recommendation
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,500,2,24,gt_2pct,static_0.75,0.750000,,28483,28482,0.999965,8589,215.992417,2129.608870,375.000000,0.825600,0.008482,0.075000,1365.651000,5.000000,0.079500,-1913.695954,-3284.413472,0.000000,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,500,2,24,gt_2pct,dynamic,0.574962,0.574962,28483,28482,0.999965,8589,215.992417,2129.608870,287.481176,0.825600,0.006503,0.057496,1365.651000,8.500753,0.079500,-1913.695954,-3287.898700,0.000000,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,500,5,24,none,static_0.5,0.500000,,28483,28483,1.000000,0,144.000000,5711.991787,250.000000,0.825600,0.005655,0.050000,0.000000,10.000000,0.079500,-5568.071287,-5578.115632,0.000000,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,500,5,24,none,static_0.75,0.750000,,28483,28483,1.000000,0,144.000000,5711.991787,375.000000,0.825600,0.008482,0.075000,0.000000,5.000000,0.079500,-5568.071287,-5573.137805,0.000000,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,500,5,24,none,dynamic,0.574962,0.574962,28483,28483,1.000000,0,144.000000,5711.991787,287.481176,0.825600,0.006503,0.057496,0.000000,8.500753,0.079500,-5568.071287,-5576.623034,0.000000,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,500,5,24,hourly,static_0.5,0.500000,,28483,28483,1.000000,23,144.000000,236.635972,250.000000,0.825600,0.005655,0.050000,3.657000,10.000000,0.079500,-92.715472,-106.416817,0.000000,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,500,5,24,hourly,static_0.75,0.750000,,28483,28483,1.000000,23,144.000000,236.635972,375.000000,0.825600,0.008482,0.075000,3.657000,5.000000,0.079500,-92.715472,-101.438990,0.000000,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,500,5,24,hourly,dynamic,0.574962,0.574962,28483,28483,1.000000,23,144.000000,236.635972,287.481176,0.825600,0.006503,0.057496,3.657000,8.500753,0.079500,-92.715472,-104.924219,0.000000,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,500,5,24,gt_0.5pct,static_0.5,0.500000,,28483,28483,1.000000,25394,144.000000,28.686676,250.000000,0.825600,0.005655,0.050000,4037.646000,10.000000,0.079500,115.233824,-3932.456521,5.961397,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,500,5,24,gt_0.5pct,static_0.75,0.750000,,28483,28483,1.000000,25394,144.000000,28.686676,375.000000,0.825600,0.008482,0.075000,4037.646000,5.000000,0.079500,115.233824,-3927.478694,6.846228,NO_GO
