variant_name,window,horizon,proof_unit_type,raw_sample_count,valid_sample_count,entry_allowed_count,quarantined_count,invalid_count,data_quality_distribution,regime_distribution,quarantine_reason_distribution,fee_proxy_coverage,exit_depth_coverage
regime_exclude_data_stale,recent_72h,15m,pool_window,384,384,384,0,0,"{""ok"": 384}","{""HEALTHY_SHORT_HOLD"": 114, ""EXIT_DEPTH_THIN"": 140, ""WHALE_OR_HOLDER_CONCENTRATED"": 96, ""PRICE_SPIKE_VOLATILE"": 14, ""UNKNOWN"": 3, ""VOLATILE_BUT_LIQUID"": 15, ""TVL_DROP"": 2}",{},1.0,1.0
regime_exclude_data_stale,recent_72h,1h,intent_window,374,374,374,0,0,"{""ok"": 374}","{""EXIT_DEPTH_THIN"": 140, ""HEALTHY_SHORT_HOLD"": 100, ""WHALE_OR_HOLDER_CONCENTRATED"": 99, ""PRICE_SPIKE_VOLATILE"": 14, ""UNKNOWN"": 3, ""VOLATILE_BUT_LIQUID"": 16, ""TVL_DROP"": 2}",{},1.0,1.0
regime_exclude_data_stale,recent_72h,1h,pool_window,384,384,384,0,0,"{""ok"": 384}","{""EXIT_DEPTH_THIN"": 140, ""HEALTHY_SHORT_HOLD"": 114, ""WHALE_OR_HOLDER_CONCENTRATED"": 96, ""PRICE_SPIKE_VOLATILE"": 14, ""UNKNOWN"": 3, ""VOLATILE_BUT_LIQUID"": 15, ""TVL_DROP"": 2}",{},1.0,1.0
regime_exclude_data_stale,recent_72h,2h,intent_window,374,374,374,0,0,"{""ok"": 374}","{""WHALE_OR_HOLDER_CONCENTRATED"": 99, ""EXIT_DEPTH_THIN"": 140, ""HEALTHY_SHORT_HOLD"": 100, ""PRICE_SPIKE_VOLATILE"": 14, ""UNKNOWN"": 3, ""VOLATILE_BUT_LIQUID"": 16, ""TVL_DROP"": 2}",{},1.0,1.0
regime_exclude_data_stale,recent_72h,2h,pool_window,384,384,384,0,0,"{""ok"": 384}","{""EXIT_DEPTH_THIN"": 140, ""WHALE_OR_HOLDER_CONCENTRATED"": 96, ""HEALTHY_SHORT_HOLD"": 114, ""PRICE_SPIKE_VOLATILE"": 14, ""UNKNOWN"": 3, ""VOLATILE_BUT_LIQUID"": 15, ""TVL_DROP"": 2}",{},1.0,1.0
regime_exclude_data_stale,recent_72h,30m,intent_window,374,374,374,0,0,"{""ok"": 374}","{""EXIT_DEPTH_THIN"": 140, ""HEALTHY_SHORT_HOLD"": 100, ""WHALE_OR_HOLDER_CONCENTRATED"": 99, ""PRICE_SPIKE_VOLATILE"": 14, ""UNKNOWN"": 3, ""VOLATILE_BUT_LIQUID"": 16, ""TVL_DROP"": 2}",{},1.0,1.0
regime_exclude_data_stale,recent_72h,30m,pool_window,384,384,384,0,0,"{""ok"": 384}","{""HEALTHY_SHORT_HOLD"": 114, ""EXIT_DEPTH_THIN"": 140, ""WHALE_OR_HOLDER_CONCENTRATED"": 96, ""PRICE_SPIKE_VOLATILE"": 14, ""UNKNOWN"": 3, ""VOLATILE_BUT_LIQUID"": 15, ""TVL_DROP"": 2}",{},1.0,1.0
regime_exclude_data_stale,recent_7d,15m,intent_window,1390,1389,1377,12,1,"{""ok"": 1389, ""invalid"": 1}","{""UNKNOWN"": 66, ""HEALTHY_SHORT_HOLD"": 535, ""WHALE_OR_HOLDER_CONCENTRATED"": 302, ""VOLATILE_BUT_LIQUID"": 82, ""EXIT_DEPTH_THIN"": 357, ""DATA_STALE_OR_INCOMPLETE"": 12, ""VOLUME_COLLAPSE"": 1, ""PRICE_SPIKE_VOLATILE"": 33, ""TVL_DROP"": 1}","{""DATA_STALE_OR_INCOMPLETE"": 12, ""invalid_sample"": 1}",1.0,1.0
regime_exclude_data_stale,recent_7d,15m,pool_window,1860,1855,1839,16,5,"{""ok"": 1855, ""invalid"": 5}","{""UNKNOWN"": 520, ""HEALTHY_SHORT_HOLD"": 530, ""WHALE_OR_HOLDER_CONCENTRATED"": 324, ""VOLATILE_BUT_LIQUID"": 82, ""EXIT_DEPTH_THIN"": 348, ""DATA_STALE_OR_INCOMPLETE"": 16, ""VOLUME_COLLAPSE"": 1, ""PRICE_SPIKE_VOLATILE"": 33, ""TVL_DROP"": 1}","{""invalid_sample"": 5, ""DATA_STALE_OR_INCOMPLETE"": 16}",1.0,1.0
regime_exclude_data_stale,recent_7d,1h,intent_window,1390,1386,1374,12,4,"{""ok"": 1386, ""invalid"": 4}","{""UNKNOWN"": 66, ""HEALTHY_SHORT_HOLD"": 532, ""WHALE_OR_HOLDER_CONCENTRATED"": 302, ""VOLATILE_BUT_LIQUID"": 82, ""EXIT_DEPTH_THIN"": 357, ""DATA_STALE_OR_INCOMPLETE"": 12, ""VOLUME_COLLAPSE"": 1, ""PRICE_SPIKE_VOLATILE"": 33, ""TVL_DROP"": 1}","{""DATA_STALE_OR_INCOMPLETE"": 12, ""invalid_sample"": 4}",1.0,1.0
