pool_address,token_pair,fee_tier,quote_side,virtual_notional,staticcall_attempted,selector_used,error_type,error_message_redacted,likely_root_cause,fixability
0x1401ff943D08a7E098328C1d3a9d388923B115D2,WBNB/USDT,2500,token1_to_token0,500,yes,0xb3b11b7e,revert,staticcall_failed:revert,revert,medium
0x1401ff943D08a7E098328C1d3a9d388923B115D2,WBNB/USDT,2500,token1_to_token0,1000,yes,0xb3b11b7e,revert,staticcall_failed:revert,revert,medium
0x1401ff943D08a7E098328C1d3a9d388923B115D2,WBNB/USDT,2500,token1_to_token0,2000,yes,0xb3b11b7e,revert,staticcall_failed:revert,revert,medium
0x6805E0E5333c5c3acCF2930Be4734E2b98f4Ce06,WBNB/USDT,10000,token0_to_token1,20,yes,0xb3b11b7e,revert,staticcall_failed:revert,revert,medium
0x6805E0E5333c5c3acCF2930Be4734E2b98f4Ce06,WBNB/USDT,10000,token0_to_token1,100,yes,0xb3b11b7e,revert,staticcall_failed:revert,revert,medium
0x6805E0E5333c5c3acCF2930Be4734E2b98f4Ce06,WBNB/USDT,10000,token0_to_token1,500,yes,0xb3b11b7e,revert,staticcall_failed:revert,revert,medium
0x6805E0E5333c5c3acCF2930Be4734E2b98f4Ce06,WBNB/USDT,10000,token0_to_token1,1000,yes,0xb3b11b7e,revert,staticcall_failed:revert,revert,medium
0x6805E0E5333c5c3acCF2930Be4734E2b98f4Ce06,WBNB/USDT,10000,token0_to_token1,2000,yes,0xb3b11b7e,revert,staticcall_failed:revert,revert,medium
0x6805E0E5333c5c3acCF2930Be4734E2b98f4Ce06,WBNB/USDT,10000,token1_to_token0,20,yes,0xb3b11b7e,revert,staticcall_failed:revert,revert,medium
0x6805E0E5333c5c3acCF2930Be4734E2b98f4Ce06,WBNB/USDT,10000,token1_to_token0,100,yes,0xb3b11b7e,revert,staticcall_failed:revert,revert,medium
0x6805E0E5333c5c3acCF2930Be4734E2b98f4Ce06,WBNB/USDT,10000,token1_to_token0,500,yes,0xb3b11b7e,revert,staticcall_failed:revert,revert,medium
0x6805E0E5333c5c3acCF2930Be4734E2b98f4Ce06,WBNB/USDT,10000,token1_to_token0,1000,yes,0xb3b11b7e,revert,staticcall_failed:revert,revert,medium
0x6805E0E5333c5c3acCF2930Be4734E2b98f4Ce06,WBNB/USDT,10000,token1_to_token0,2000,yes,0xb3b11b7e,revert,staticcall_failed:revert,revert,medium
0xf2688Fb5B81049DFB7703aDa5e770543770612C4,WBNB/USDC,100,token0_to_token1,20,yes,0xb3b11b7e,revert,staticcall_failed:revert,revert,medium
0xf2688Fb5B81049DFB7703aDa5e770543770612C4,WBNB/USDC,100,token0_to_token1,100,yes,0xb3b11b7e,revert,staticcall_failed:revert,revert,medium
0xf2688Fb5B81049DFB7703aDa5e770543770612C4,WBNB/USDC,100,token0_to_token1,500,yes,0xb3b11b7e,revert,staticcall_failed:revert,revert,medium
0xf2688Fb5B81049DFB7703aDa5e770543770612C4,WBNB/USDC,100,token0_to_token1,1000,yes,0xb3b11b7e,revert,staticcall_failed:revert,revert,medium
