window,signal_name,horizon,proof_unit_type,trigger_count,trigger_rate,first_trigger_delay_median,first_trigger_delay_p90,false_exit_rate,missed_profit_rate,hold_p10,risk_exit_p10,tail_improve_p10,hold_p5,risk_exit_p5,tail_improve_p5,hold_p1,risk_exit_p1,tail_improve_p1,signal_quality
recent_168h,price_spike_down,2h,pool_window,0,0.0,,,,,-0.6409071859143017,-0.6409071859143017,0.0,-1.4900581167929974,-1.4900581167929974,0.0,-4.691999224720435,-4.691999224720435,0.0,INSUFFICIENT
recent_168h,price_spike_down,30m,intent_window,0,0.0,,,,,-0.017138191714124673,-0.017138191714124673,0.0,-2.506342325245683,-2.506342325245683,0.0,-2.5543076901201403,-2.5543076901201403,0.0,INSUFFICIENT
recent_168h,price_spike_down,30m,pool_window,0,0.0,,,,,-0.11125046939591521,-0.11125046939591521,0.0,-0.8025356561110383,-0.8025356561110383,0.0,-2.8146239772407973,-2.8146239772407973,0.0,INSUFFICIENT
recent_24h,price_spike_up,15m,intent_window,0,0.0,,,,,0.0005499732427693971,0.0005499732427693971,0.0,0.0002556736978220897,0.0002556736978220897,0.0,0.0002556736978220897,0.0002556736978220897,0.0,INSUFFICIENT
recent_24h,price_spike_up,15m,pool_window,0,0.0,,,,,-0.00286126082657879,-0.00286126082657879,0.0,-0.0216923091204912,-0.0216923091204912,0.0,-0.6008644090200929,-0.6008644090200929,0.0,INSUFFICIENT
recent_24h,price_spike_up,1h,intent_window,0,0.0,,,,,0.0017784702051955037,0.0017784702051955037,0.0,0.0011032970631674743,0.0011032970631674743,0.0,0.0011032970631674743,0.0011032970631674743,0.0,INSUFFICIENT
recent_24h,price_spike_up,1h,pool_window,0,0.0,,,,,-0.04153192652399556,-0.04153192652399556,0.0,-0.48099291702747166,-0.48099291702747166,0.0,-2.656471289685926,-2.656471289685926,0.0,INSUFFICIENT
recent_24h,price_spike_up,2h,intent_window,0,0.0,,,,,0.004022389305745833,0.004022389305745833,0.0,0.003620198788695461,0.003620198788695461,0.0,0.003620198788695461,0.003620198788695461,0.0,INSUFFICIENT
recent_24h,price_spike_up,2h,pool_window,0,0.0,,,,,-0.17323414748712623,-0.17323414748712623,0.0,-0.5558026124637273,-0.5558026124637273,0.0,-2.636068429303282,-2.636068429303282,0.0,INSUFFICIENT
recent_24h,price_spike_up,30m,intent_window,0,0.0,,,,,0.0007773597600788662,0.0007773597600788662,0.0,0.0005499732427693971,0.0005499732427693971,0.0,0.0005499732427693971,0.0005499732427693971,0.0,INSUFFICIENT
recent_24h,price_spike_up,30m,pool_window,0,0.0,,,,,-0.012768857469854449,-0.012768857469854449,0.0,-0.21244290210941588,-0.21244290210941588,0.0,-2.6222401117880234,-2.6222401117880234,0.0,INSUFFICIENT
