pool_id,token_pair,reclassification,reason,exit_depth_status,top10_holder_pct,top1_trader_share,top5_trader_share,data_quality_status,previously_hard_rejected
0x4f13908968a7acef4738bf5f306fd269dcc1c94a80e7e084bbd41e5055ab31c4,Katch / WETH,WATCH_DATA_MISSING,trader_concentration_missing,OK,54.38,,,partial,no
0xf6ca0d69c0a93d4dea32af5f1f2115bd5fe4f14cdba6ec35ca45bd8d29d947d1,MYTHOS / WETH,WATCH_DATA_MISSING,trader_concentration_missing,OK,54.38,,,partial,no
0x3edda68feaec4ca870ec5ebacdd50f92af6ad747828a8b4a287f692ca4ea7b3c,WAKE / WETH,WATCH_DATA_MISSING,trader_concentration_missing,OK,54.38,,,partial,no
0x7a97e4a45f5ae858ba5e96fb1e279dce4aa6751caf844a2bf6c7f7ea520e34f4,Tessera / WETH 1%,WATCH_DATA_MISSING,trader_concentration_missing,OK,54.38,,,partial,no
0x5d0bc342178c8fe2c2f9a9fcc9d52555c99936db,USDC/USDbC,WATCH_DATA_MISSING,trader_concentration_missing,OK,24.9,,,partial,no
0x1131db5977242a03ebead1acd18f80a9a29e5922,SOL/USDC,WATCH_DATA_MISSING,trader_concentration_missing,OK,24.9,,,partial,no
0x659be70647b0f63217d60e077f4417b1ecc65064,FUN/USDC,REJECT,holder_concentration_extreme,OK,81.84,42.65,87.25,acceptable,no
0xb775272e537cc670c65dc852908ad47015244eaf,WETH/USDC,WATCH_DATA_MISSING,trader_concentration_missing,OK,54.38,,,partial,no
0x5a9ad2bb92b0b3e5c571fdd5125114e04e02be1a,WETH/USDC,WATCH_DATA_MISSING,trader_concentration_missing,OK,54.38,,,partial,no
0x57713f7716e0b0f65ec116912f834e49805480d2,WETH/USDC,WATCH_DATA_MISSING,trader_concentration_missing,OK,54.38,,,partial,no
0xfbb6eed8e7aa03b138556eedaf5d271a5e1e43ef,cbBTC/USDC,WATCH_DATA_MISSING,trader_concentration_missing,OK,89.86,,,partial,no
0x22aee3699b6a0fed71490c103bd4e5f3309891d5,cbBTC/WETH,WATCH_DATA_MISSING,trader_concentration_missing,OK,89.86,,,partial,no
0x12d76c5c8ec8edffd3c143995b0aa43fe44a6d71eb9113796272909e54b8e078,cbBTC/USDC,WATCH_DATA_MISSING,trader_concentration_missing,OK,89.86,,,partial,no
0x3e66e55e97ce60096f74b7c475e8249f2d31a9fb,cbBTC/USDC,WATCH_DATA_MISSING,trader_concentration_missing,OK,89.86,,,partial,no
0x7aea2e8a3843516afa07293a10ac8e49906dabd1,cbBTC/WETH,WATCH_DATA_MISSING,trader_concentration_missing,OK,89.86,,,partial,no
0x4ca59b56965385e14b3fd4d48cd1741dc21e7343,cbBTC/USDC,WATCH_DATA_MISSING,trader_concentration_missing,OK,89.86,,,partial,no
0x26e263efdc91f0d3279e2ec2bd58a7ca5c2fce62,cbBTC/USDC,WATCH_DATA_MISSING,trader_concentration_missing,OK,89.86,,,partial,no
0xd974d59e30054cf1abeded0c9947b0d8baf90029,cbBTC/WETH,WATCH_DATA_MISSING,trader_concentration_missing,OK,89.86,,,partial,no
0xa4fdd479eda160671636e2ecf8f993cbf86258a8,AERO/USDC,WATCH_DATA_MISSING,trader_concentration_missing,OK,68.0,,,partial,no
0x82321f3beb69f503380d6b233857d5c43562e2d0,AERO/WETH,WATCH_DATA_MISSING,trader_concentration_missing,OK,68.0,,,partial,no
0xe5b5f522e98b5a2baae212d4da66b865b781db97,AERO/USDC,WATCH_DATA_MISSING,trader_concentration_missing,OK,68.0,,,partial,no
0xdfe5f275020def30993f042174fc2d335678b626,AERO/cbBTC,WATCH_DATA_MISSING,trader_concentration_missing,OK,89.86,,,partial,no
0x4e506648d493c8870f55e870480f92f2f33ece51,AERO/WETH,WATCH_DATA_MISSING,trader_concentration_missing,OK,68.0,,,partial,no
