run_id,pool_id,token_pair,chain,cost_scenario,virtual_notional_usd,quote_method,gas_price_wei,eth_usd,quote_gas_estimate,swap_gas_units,mint_gas_units,increase_liquidity_gas_units,decrease_liquidity_gas_units,collect_gas_units,entry_swap_cost_usd,exit_swap_cost_usd,lp_add_fixed_cost_usd,lp_remove_fixed_cost_usd,collect_fixed_cost_usd,total_fixed_cost_usd,proportional_slippage_cost_usd,total_cost_usd,confidence,future_probe_only_fields,invalid_reason,read_only_safe,wallet_or_tx_touched,created_at
20260601_141103,0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,cbBTC/WETH,base,conservative_high,20.0,quoter_v2_staticcall,7200000.0,1981.1232671735268,24580991,24580991,280000,340000,240000,130000,0.350625407042038,0.350625407042038,0.009770899953699834,0.0041365853818583235,0.001854331378074421,0.015761816713632578,24.999952344647088,25.716964975444796,low,"mint_gas_units,increase_liquidity_gas_units,decrease_liquidity_gas_units,collect_gas_units,approval_cost",,True,False,1780323337
20260601_141103,0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,cbBTC/WETH,base,diagnostic_low,100.0,quoter_v2_staticcall,5100000.0,1981.1232671735268,26090230,26090230,180000,220000,150000,70000,0.26360860466443464,0.26360860466443464,0.004496159254850318,0.002020745732516997,0.000707261006380949,0.007224165993748264,79.99984750949116,80.53428888481378,low,"mint_gas_units,increase_liquidity_gas_units,decrease_liquidity_gas_units,collect_gas_units,approval_cost",,True,False,1780323337
20260601_141103,0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,cbBTC/WETH,base,realistic_mid,100.0,quoter_v2_staticcall,6000000.0,1981.1232671735268,26090230,26090230,220000,280000,190000,95000,0.31012777019345256,0.31012777019345256,0.006537706781672638,0.0028528175047298782,0.00112924026228891,0.010519764548691427,99.99980938686394,100.63058469179954,medium,"mint_gas_units,increase_liquidity_gas_units,decrease_liquidity_gas_units,collect_gas_units,approval_cost",,True,False,1780323337
20260601_141103,0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,cbBTC/WETH,base,conservative_high,100.0,quoter_v2_staticcall,7200000.0,1981.1232671735268,26090230,26090230,280000,340000,240000,130000,0.3721533242321431,0.3721533242321431,0.009770899953699834,0.0041365853818583235,0.001854331378074421,0.015761816713632578,124.99976173357993,125.75983019875785,low,"mint_gas_units,increase_liquidity_gas_units,decrease_liquidity_gas_units,collect_gas_units,approval_cost",,True,False,1780323337
20260601_141103,0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,cbBTC/WETH,base,diagnostic_low,500.0,quoter_v2_staticcall,5100000.0,1981.1232671735268,27599651,27599651,180000,220000,150000,70000,0.27885938488604234,0.27885938488604234,0.004496159254850318,0.002020745732516997,0.000707261006380949,0.007224165993748264,399.9992377902066,400.56418072597245,low,"mint_gas_units,increase_liquidity_gas_units,decrease_liquidity_gas_units,collect_gas_units,approval_cost",,True,False,1780323337
20260601_141103,0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,cbBTC/WETH,base,realistic_mid,500.0,quoter_v2_staticcall,6000000.0,1981.1232671735268,27599651,27599651,220000,280000,190000,95000,0.32806986457181453,0.32806986457181453,0.006537706781672638,0.0028528175047298782,0.00112924026228891,0.010519764548691427,499.99904723775825,500.66570673145054,medium,"mint_gas_units,increase_liquidity_gas_units,decrease_liquidity_gas_units,collect_gas_units,approval_cost",,True,False,1780323337
20260601_141103,0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,cbBTC/WETH,base,conservative_high,500.0,quoter_v2_staticcall,7200000.0,1981.1232671735268,27599651,27599651,280000,340000,240000,130000,0.39368383748617747,0.39368383748617747,0.009770899953699834,0.0041365853818583235,0.001854331378074421,0.015761816713632578,624.9988090471978,625.8019385388839,low,"mint_gas_units,increase_liquidity_gas_units,decrease_liquidity_gas_units,collect_gas_units,approval_cost",,True,False,1780323337
20260601_141103,0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,cbBTC/WETH,base,diagnostic_low,1000.0,quoter_v2_staticcall,5100000.0,1981.1232671735268,28246589,28246589,180000,220000,150000,70000,0.28539587089955776,0.28539587089955776,0.004496159254850318,0.002020745732516997,0.000707261006380949,0.007224165993748264,799.9984761906003,800.5764920983931,low,"mint_gas_units,increase_liquidity_gas_units,decrease_liquidity_gas_units,collect_gas_units,approval_cost",,True,False,1780323337
20260601_141103,0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,cbBTC/WETH,base,realistic_mid,1000.0,quoter_v2_staticcall,6000000.0,1981.1232671735268,28246589,28246589,220000,280000,190000,95000,0.3357598481171268,0.3357598481171268,0.006537706781672638,0.0028528175047298782,0.00112924026228891,0.010519764548691427,999.9980952382502,1000.6801346990331,medium,"mint_gas_units,increase_liquidity_gas_units,decrease_liquidity_gas_units,collect_gas_units,approval_cost",,True,False,1780323337
20260601_141103,0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,cbBTC/WETH,base,conservative_high,1000.0,quoter_v2_staticcall,7200000.0,1981.1232671735268,28246589,28246589,280000,340000,240000,130000,0.4029118177405522,0.4029118177405522,0.009770899953699834,0.0041365853818583235,0.001854331378074421,0.015761816713632578,1249.9976190478128,1250.8192045000076,low,"mint_gas_units,increase_liquidity_gas_units,decrease_liquidity_gas_units,collect_gas_units,approval_cost",,True,False,1780323337
