pool,pool_name,size_usd,range_pct,hold_hours,l_factor,base_share,events_in_window,in_range_pct,total_volume_usd,total_pool_fee_usd,replay_fee_corrected_usd,replay_fee_r4_old_usd,correction_factor,median_share_pct,max_share_pct,proxy_fee_usd,capture_ratio_corrected,capture_ratio_old,il_estimate_usd,gas_usd,net_pnl_corrected_usd,net_pnl_old_usd,signal_noise_corrected,recommendation
0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,PancakeSwap V3 WETH/USDC 0.01%,50,5,24,1721.74,0.02189817,80378,1.0000,45150575.93,4515.0576,96.752794,98.871504,0.978571,0.021429,0.021429,0.061761,1566.5712,1600.8762,4.0000,0.0795,92.6733,94.7920,46.3764,GO
0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,PancakeSwap V3 WETH/USDC 0.01%,50,10,1,461.74,0.00587266,1855,1.0000,879203.64,87.9204,0.513312,0.516326,0.994162,0.005838,0.005838,0.002573,199.4707,200.6422,0.0417,0.0795,0.3921,0.3952,22.6390,GO
0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,PancakeSwap V3 WETH/USDC 0.01%,50,10,6,461.74,0.00587266,13431,1.0000,5728953.13,572.8953,3.344777,3.364419,0.994162,0.005838,0.005838,0.015440,216.6276,217.8998,0.2500,0.0795,3.0153,3.0349,24.7582,GO
0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,PancakeSwap V3 WETH/USDC 0.01%,50,10,24,461.74,0.00587266,80378,1.0000,45150575.93,4515.0576,26.360592,26.515399,0.994162,0.005838,0.005838,0.061761,426.8171,429.3236,1.0000,0.0795,25.2811,25.4359,50.7212,GO
0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,PancakeSwap V3 WETH/USDC 0.01%,50,15,1,219.51,0.00279186,1855,1.0000,879203.64,87.9204,0.244778,0.245461,0.997216,0.002784,0.002784,0.002573,95.1196,95.3852,0.0185,0.0795,0.1468,0.1474,24.4360,GO
0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,PancakeSwap V3 WETH/USDC 0.01%,50,15,6,219.51,0.00279186,13431,1.0000,5728953.13,572.8953,1.594990,1.599443,0.997216,0.002784,0.002784,0.015440,103.3010,103.5894,0.1111,0.0795,1.4044,1.4088,26.7098,GO
0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,PancakeSwap V3 WETH/USDC 0.01%,50,15,24,219.51,0.00279186,80378,1.0000,45150575.93,4515.0576,12.570314,12.605408,0.997216,0.002784,0.002784,0.061761,203.5320,204.1003,0.4444,0.0795,12.0464,12.0815,54.5664,GO
0xb775272e537cc670c65dc852908ad47015244eaf,PancakeSwap V3 WETH/USDC 0.05%,10,5,1,1721.74,0.01312360,170,1.0000,45949.78,22.9749,0.297608,0.301513,0.987046,0.012954,0.012954,0.000927,320.9187,325.1303,0.0333,0.0795,0.1848,0.1887,15.8565,GO
0xb775272e537cc670c65dc852908ad47015244eaf,PancakeSwap V3 WETH/USDC 0.05%,10,5,6,1721.74,0.01312360,981,1.0000,288545.16,144.2726,1.868850,1.893376,0.987046,0.012954,0.012954,0.005564,335.8722,340.2800,0.2000,0.0795,1.5893,1.6139,16.6885,GO
0xb775272e537cc670c65dc852908ad47015244eaf,PancakeSwap V3 WETH/USDC 0.05%,10,5,24,1721.74,0.01312360,6819,1.0000,2752167.38,1376.0837,17.825245,18.059176,0.987046,0.012954,0.012954,0.022257,800.8941,811.4047,0.8000,0.0795,16.9457,17.1797,42.5631,GO
0xb775272e537cc670c65dc852908ad47015244eaf,PancakeSwap V3 WETH/USDC 0.05%,10,10,1,461.74,0.00351949,170,1.0000,45949.78,22.9749,0.080576,0.080860,0.996493,0.003507,0.003507,0.000927,86.8878,87.1936,0.0083,0.0795,-0.0073,-0.0070,17.3383,NEED_MORE_DATA
0xb775272e537cc670c65dc852908ad47015244eaf,PancakeSwap V3 WETH/USDC 0.05%,10,10,6,461.74,0.00351949,981,1.0000,288545.16,144.2726,0.505986,0.507766,0.996493,0.003507,0.003507,0.005564,90.9364,91.2564,0.0500,0.0795,0.3765,0.3783,18.2394,GO
0xb775272e537cc670c65dc852908ad47015244eaf,PancakeSwap V3 WETH/USDC 0.05%,10,10,24,461.74,0.00351949,6819,1.0000,2752167.38,1376.0837,4.826131,4.843117,0.996493,0.003507,0.003507,0.022257,216.8397,217.6028,0.2000,0.0795,4.5466,4.5636,46.2613,GO
0xb775272e537cc670c65dc852908ad47015244eaf,PancakeSwap V3 WETH/USDC 0.05%,10,15,1,219.51,0.00167317,170,1.0000,45949.78,22.9749,0.038377,0.038441,0.998330,0.001670,0.001670,0.000927,41.3825,41.4518,0.0037,0.0795,-0.0448,-0.0448,18.7234,NEED_MORE_DATA
0xb775272e537cc670c65dc852908ad47015244eaf,PancakeSwap V3 WETH/USDC 0.05%,10,15,6,219.51,0.00167317,981,1.0000,288545.16,144.2726,0.240989,0.241392,0.998330,0.001670,0.001670,0.005564,43.3108,43.3833,0.0222,0.0795,0.1393,0.1397,19.6890,GO
0xb775272e537cc670c65dc852908ad47015244eaf,PancakeSwap V3 WETH/USDC 0.05%,10,15,24,219.51,0.00167317,6819,1.0000,2752167.38,1376.0837,2.298570,2.302416,0.998330,0.001670,0.001670,0.022257,103.2755,103.4483,0.0889,0.0795,2.1302,2.1340,49.7178,GO
0xb775272e537cc670c65dc852908ad47015244eaf,PancakeSwap V3 WETH/USDC 0.05%,25,5,1,1721.74,0.03280901,170,1.0000,45949.78,22.9749,0.729838,0.753783,0.968233,0.031767,0.031767,0.002318,314.8019,325.1303,0.0833,0.0795,0.5670,0.5910,15.5161,GO
0xb775272e537cc670c65dc852908ad47015244eaf,PancakeSwap V3 WETH/USDC 0.05%,25,5,6,1721.74,0.03280901,981,1.0000,288545.16,144.2726,4.583074,4.733440,0.968233,0.031767,0.031767,0.013910,329.4704,340.2800,0.5000,0.0795,4.0036,4.1539,16.3323,GO
0xb775272e537cc670c65dc852908ad47015244eaf,PancakeSwap V3 WETH/USDC 0.05%,25,5,24,1721.74,0.03280901,6819,1.0000,2752167.38,1376.0837,43.713736,45.147940,0.968233,0.031767,0.031767,0.055642,785.6290,811.4047,2.0000,0.0795,41.6342,43.0684,41.7137,GO
0xb775272e537cc670c65dc852908ad47015244eaf,PancakeSwap V3 WETH/USDC 0.05%,25,10,1,461.74,0.00879873,170,1.0000,45949.78,22.9749,0.200387,0.202150,0.991278,0.008722,0.008722,0.002318,86.4331,87.1936,0.0208,0.0795,0.1001,0.1018,17.2371,GO
0xb775272e537cc670c65dc852908ad47015244eaf,PancakeSwap V3 WETH/USDC 0.05%,25,10,6,461.74,0.00879873,981,1.0000,288545.16,144.2726,1.258344,1.269416,0.991278,0.008722,0.008722,0.013910,90.4605,91.2564,0.1250,0.0795,1.0538,1.0649,18.1335,GO
0xb775272e537cc670c65dc852908ad47015244eaf,PancakeSwap V3 WETH/USDC 0.05%,25,10,24,461.74,0.00879873,6819,1.0000,2752167.38,1376.0837,12.002188,12.107792,0.991278,0.008722,0.008722,0.055642,215.7049,217.6028,0.5000,0.0795,11.4227,11.5283,46.0088,GO
0xb775272e537cc670c65dc852908ad47015244eaf,PancakeSwap V3 WETH/USDC 0.05%,25,15,1,219.51,0.00418291,170,1.0000,45949.78,22.9749,0.095702,0.096102,0.995835,0.004165,0.004165,0.002318,41.2791,41.4518,0.0093,0.0795,0.0069,0.0073,18.6716,GO
0xb775272e537cc670c65dc852908ad47015244eaf,PancakeSwap V3 WETH/USDC 0.05%,25,15,6,219.51,0.00418291,981,1.0000,288545.16,144.2726,0.600966,0.603480,0.995835,0.004165,0.004165,0.013910,43.2026,43.3833,0.0556,0.0795,0.4659,0.4684,19.6348,GO
0xb775272e537cc670c65dc852908ad47015244eaf,PancakeSwap V3 WETH/USDC 0.05%,25,15,24,219.51,0.00418291,6819,1.0000,2752167.38,1376.0837,5.732062,5.756039,0.995835,0.004165,0.004165,0.055642,103.0174,103.4483,0.2222,0.0795,5.4303,5.4543,49.5886,GO
0xb775272e537cc670c65dc852908ad47015244eaf,PancakeSwap V3 WETH/USDC 0.05%,50,5,1,1721.74,0.06561801,170,1.0000,45949.78,22.9749,1.414735,1.507567,0.938423,0.061577,0.061577,0.004637,305.1096,325.1303,0.1667,0.0795,1.1686,1.2614,14.9768,GO
0xb775272e537cc670c65dc852908ad47015244eaf,PancakeSwap V3 WETH/USDC 0.05%,50,5,6,1721.74,0.06561801,981,1.0000,288545.16,144.2726,8.883934,9.466880,0.938423,0.061577,0.061577,0.027821,319.3265,340.2800,1.0000,0.0795,7.8044,8.3874,15.7679,GO
0xb775272e537cc670c65dc852908ad47015244eaf,PancakeSwap V3 WETH/USDC 0.05%,50,5,24,1721.74,0.06561801,6819,1.0000,2752167.38,1376.0837,84.735692,90.295880,0.938423,0.061577,0.061577,0.111283,761.4405,811.4047,4.0000,0.0795,80.6562,86.2164,40.3678,GO
0xb775272e537cc670c65dc852908ad47015244eaf,PancakeSwap V3 WETH/USDC 0.05%,50,10,1,461.74,0.01759747,170,1.0000,45949.78,22.9749,0.397308,0.404300,0.982707,0.017293,0.017293,0.004637,85.6857,87.1936,0.0417,0.0795,0.2761,0.2831,17.0708,GO
0xb775272e537cc670c65dc852908ad47015244eaf,PancakeSwap V3 WETH/USDC 0.05%,50,10,6,461.74,0.01759747,981,1.0000,288545.16,144.2726,2.494927,2.538832,0.982707,0.017293,0.017293,0.027821,89.6783,91.2564,0.2500,0.0795,2.1654,2.2093,17.9594,GO
0xb775272e537cc670c65dc852908ad47015244eaf,PancakeSwap V3 WETH/USDC 0.05%,50,10,24,461.74,0.01759747,6819,1.0000,2752167.38,1376.0837,23.796821,24.215585,0.982707,0.017293,0.017293,0.111283,213.8398,217.6028,1.0000,0.0795,22.7173,23.1361,45.5936,GO
0xb775272e537cc670c65dc852908ad47015244eaf,PancakeSwap V3 WETH/USDC 0.05%,50,15,1,219.51,0.00836583,170,1.0000,45949.78,22.9749,0.190609,0.192204,0.991704,0.008296,0.008296,0.004637,41.1079,41.4518,0.0185,0.0795,0.0926,0.0942,18.5858,GO
0xb775272e537cc670c65dc852908ad47015244eaf,PancakeSwap V3 WETH/USDC 0.05%,50,15,6,219.51,0.00836583,981,1.0000,288545.16,144.2726,1.196946,1.206959,0.991704,0.008296,0.008296,0.027821,43.0233,43.3833,0.1111,0.0795,1.0063,1.0163,19.5450,GO
0xb775272e537cc670c65dc852908ad47015244eaf,PancakeSwap V3 WETH/USDC 0.05%,50,15,24,219.51,0.00836583,6819,1.0000,2752167.38,1376.0837,11.416569,11.512078,0.991704,0.008296,0.008296,0.111283,102.5900,103.4483,0.4444,0.0795,10.8926,10.9881,49.3746,GO
