pool_address,protocol,name,token0_symbol,token1_symbol,fee_tier_bps,tvl_usd,volume_usd_h24,price_change_pct_h24,risk_level,risk_score,data_quality_score,fee_per_dollar_per_day,fee_apr_est,min_viable_size_usdc,min_viable_hours,expected_net_at_mvs,passes_10usdc_24h,passes_50usdc_24h,passes_50usdc_7d,is_aero_paired,is_blue_chip_pair,fee_score,volume_persistence_score,tvl_depth_score,volatility_fit_score,gas_efficiency_score,token_risk_penalty,score,go_no_go,rank,r1_cycle_cost_usd,r2_cycle_cost_usd_observed,r1_expected_net_at_50_7d,r2_expected_net_at_50_7d,r2_passes_50_7d,r2_passes_10_24h,r2_passes_25_7d,r2_passes_50_24h
0x7c7420dd105e2779316423ba3e973f434315efa9,aerodrome-slipstream,cbBTC / WETH 0.009%,cbBTC,WETH 0.009%,0,166272.6565,3599347.31196071,1.8,MEDIUM,45,0.85,0.00145431,0.5308,,,,False,False,False,False,False,0.5308,1.0,0.7458,0.94,0.1,0.2,0.3403,NO_GO,26,0.3,0.0795,0.0,0.4295,True,False,False,False
0x0ab02e160f0df68dc049b012c514857306960eae,aerodrome-slipstream,CTR / USDC 0.018%,CTR,USDC,1.8,594584.0485,24963647.6837271,-15.162,MEDIUM,30,0.85,0.00137339,0.5013,,,,False,False,False,False,False,0.5013,1.0,0.8249,0.4946,0.1,0.2,0.2948,NO_GO,29,0.3,0.0795,0.0,0.4011,True,False,False,False
0x12d76c5c8ec8edffd3c143995b0aa43fe44a6d71eb9113796272909e54b8e078,uniswap-v4-base,cbBTC / USDC 0.05%,cbBTC,USDC,5,4019538.021,16785394.7889585,1.84,MEDIUM,30,0.85,0.00113622,0.4147,,,,False,False,False,False,False,0.4147,0.8352,0.9435,0.9387,0.1,0.2,0.3004,NO_GO,28,0.3,0.0795,0.0,0.3181,True,False,False,False
0xd0b53d9277642d899df5c87a3966a349a798f224,uniswap-v3-base,USDC / WETH 0.05%,USDC,WETH,5,9445385.2679,29792513.380413,0.169,LOW,0,0.85,0.00109844,0.4009,,,,False,False,False,False,True,0.4009,0.6308,0.9965,0.9944,0.1,0.0,0.4765,NO_GO,19,0.3,0.0795,0.0,0.3049,True,False,False,False
0xb4cb800910b228ed3d0834cf79d697127bbb00e5,uniswap-v3-base,WETH / USDC 0.01%,WETH,USDC,1,393368.6591,3201350.1566951,1.215,LOW,0,0.85,0.0010849,0.396,,,,False,False,False,False,True,0.396,1.0,0.7993,0.9595,0.1,0.0,0.5072,NO_GO,14,0.3,0.0795,0.0,0.3002,True,False,False,False
0x7ec6c9d993d9832aa654593f2dbc21303650bc6c,aerodrome-slipstream,VVV / WETH 0.05%,VVV,WETH,5,2671215.377,3608698.1847532,-9.804,MEDIUM,30,0.85,0.00101923,0.372,,,,False,False,False,False,False,0.372,0.2702,0.9181,0.6732,0.1,0.2,0.1738,NO_GO,33,0.3,0.0795,0.0,0.2772,True,False,False,False
0x160d7e9d948b16c163332a277b393c288408eb12,aerodrome-slipstream,cbBTC / USDC 0.05%,cbBTC,USDC,5,2541150.2844,38343138.1987249,1.851,MEDIUM,30,0.85,0.00099312,0.3625,,,,False,False,False,False,False,0.3625,1.0,0.915,0.9383,0.1,0.2,0.3066,NO_GO,27,0.3,0.0795,0.0,0.268,True,False,False,False
0xf13203ddbf2c9816a79b656a1a952521702715d92fea465b84ae2ed6e94a7f22,uniswap-v4-base,USDT / USDC,USDT,USDC,0,2463601.4995,5418603.76608522,-0.22,MEDIUM,45,0.85,0.00090235,0.3294,,,,False,False,False,False,False,0.3294,0.4399,0.9131,0.9927,0.1,0.2,0.2179,NO_GO,32,0.3,0.0795,0.0,0.2363,True,False,False,False
0x9d14ff91ae2c6e3d1a760542248b6c7f206894b0,aerodrome-slipstream,cbBTC / USDC 0.021%,cbBTC,USDC,2.1,728163.2234,5665131.15520798,1.831,MEDIUM,30,0.85,0.00081383,0.297,,,,False,False,False,False,False,0.297,1.0,0.8375,0.939,0.1,0.2,0.2793,NO_GO,30,0.3,0.0795,0.0,0.2053,True,False,False,False
0xf39b7c34be147f5dc1bc374f27af2e9f03ad3113,aerodrome-slipstream,EURC / USDC 0.007%,EURC,USDC 0.007%,0,581407.6888,4884593.26323372,0.035,MEDIUM,45,0.85,0.00073867,0.2696,,,,False,False,False,False,False,0.2696,1.0,0.8235,0.9988,0.1,0.2,0.2756,NO_GO,31,0.3,0.0795,0.0,0.179,True,False,False,False
0xd08f1fb797bfacded23323178672557034c64cfa,uniswap-v3-base,deSPXA / USDC 0.05%,deSPXA,USDC,5,3450550.8416,7318030.34409994,-1.819,MEDIUM,30,0.85,0.00011873,0.0433,,,,False,False,False,False,False,0.0433,0.4242,0.934,0.9394,0.1,0.2,0.1265,NO_GO,35,0.3,0.0795,0.0,-0.038,False,False,False,False
0x7aea2e8a3843516afa07293a10ac8e49906dabd1,uniswap-v3-base,cbBTC / WETH 0.05%,cbBTC,WETH,5,2754917.7029,6260400.99108378,1.899,MEDIUM,30,0.85,0.00011299,0.0412,,,,False,False,False,False,False,0.0412,0.4545,0.92,0.9367,0.1,0.2,0.1287,NO_GO,34,0.3,0.0795,0.0,-0.04,False,False,False,False
