regime,window,horizon,sample_count,valid_count,hold_median,hold_p10,hold_p5,hold_p1,risk_exit_p10,quarantine_avoided_loss_count,false_quarantine_rate,missed_profit_rate,worst_pool_contribution,tail_status
TVL_DROP,recent_48h,2h,5,5,-0.210397305367035,-0.213911147428541,-0.213911147428541,-0.213911147428541,-0.218932835331995,4,0.2,1.0,1.0,INSUFFICIENT
TVL_DROP,recent_48h,30m,5,5,0.0134204258851112,-0.240001820438889,-0.240001820438889,-0.240001820438889,-0.240001820438889,1,0.8,1.0,1.0,INSUFFICIENT
TVL_DROP,recent_72h,15m,2,2,0.01139745735365917,0.00535211614128054,0.00535211614128054,0.00535211614128054,0.00535211614128054,0,1.0,1.0,,INSUFFICIENT
TVL_DROP,recent_72h,1h,2,2,0.032918823031054506,-0.257958912898267,-0.257958912898267,-0.257958912898267,-0.257958912898267,1,0.5,1.0,1.0,INSUFFICIENT
TVL_DROP,recent_72h,2h,2,2,0.135945529491887,0.036957897763167,0.036957897763167,0.036957897763167,0.036957897763167,0,1.0,1.0,,INSUFFICIENT
TVL_DROP,recent_72h,30m,2,2,0.1618462132860865,0.036223930490755,0.036223930490755,0.036223930490755,0.036223930490755,0,1.0,1.0,,INSUFFICIENT
TVL_DROP,recent_7d,15m,1,1,0.00323845435675374,0.00323845435675374,0.00323845435675374,0.00323845435675374,0.00323845435675374,0,1.0,1.0,,INSUFFICIENT
TVL_DROP,recent_7d,1h,1,1,0.0117268832702438,0.0117268832702438,0.0117268832702438,0.0117268832702438,0.0117268832702438,0,1.0,1.0,,INSUFFICIENT
TVL_DROP,recent_7d,2h,1,1,0.0396252488456718,0.0396252488456718,0.0396252488456718,0.0396252488456718,0.0396252488456718,0,1.0,1.0,,INSUFFICIENT
TVL_DROP,recent_7d,30m,1,1,0.000296726636268608,0.000296726636268608,0.000296726636268608,0.000296726636268608,0.000296726636268608,0,1.0,1.0,,INSUFFICIENT
UNKNOWN,recent_72h,15m,3,3,0.00599294541077113,-0.00195213912904373,-0.00195213912904373,-0.00195213912904373,-0.00195213912904373,0,,0.0,1.0,INSUFFICIENT
UNKNOWN,recent_72h,1h,3,3,0.0107966268301522,-0.00123085010091481,-0.00123085010091481,-0.00123085010091481,-0.00123085010091481,0,,0.0,1.0,INSUFFICIENT
UNKNOWN,recent_72h,2h,3,3,0.0438722659059469,0.0191588313258015,0.0191588313258015,0.0191588313258015,0.0191588313258015,0,,0.0,,INSUFFICIENT
UNKNOWN,recent_72h,30m,3,3,0.0076508734353451,-0.00195213912904373,-0.00195213912904373,-0.00195213912904373,-0.00195213912904373,0,,0.0,1.0,INSUFFICIENT
UNKNOWN,recent_7d,15m,35,35,0.0153955509897246,-1.15799608929329,-1.51399920521578,-1.65896311120278,-1.15799608929329,0,,0.0,0.5173923206758585,FAIL
UNKNOWN,recent_7d,1h,35,35,0.0494925538648571,-1.23061350383916,-1.50496664474952,-1.63284111427024,-1.23061350383916,0,,0.0,0.876977717081438,FAIL
UNKNOWN,recent_7d,2h,35,35,0.118743969129963,-1.51266608645318,-1.52558515920607,-1.61435081209252,-1.51266608645318,0,,0.0,0.8375847314360224,FAIL
UNKNOWN,recent_7d,30m,35,35,0.0298434356601213,-1.1026324453503,-1.15511459384943,-1.64146954704125,-1.1026324453503,0,,0.0,0.679232382840931,FAIL
VOLATILE_BUT_LIQUID,recent_24h,15m,4,4,0.003452453106219135,-0.00995775460817054,-0.00995775460817054,-0.00995775460817054,-0.00995775460817054,0,,0.0,1.0,INSUFFICIENT
VOLATILE_BUT_LIQUID,recent_24h,1h,4,4,-0.001152530964403885,-0.00935918928854565,-0.00935918928854565,-0.00935918928854565,-0.00935918928854565,0,,0.0,1.0,INSUFFICIENT
VOLATILE_BUT_LIQUID,recent_24h,2h,4,4,0.01856515300309645,0.00780385385763062,0.00780385385763062,0.00780385385763062,0.00780385385763062,0,,0.0,,INSUFFICIENT
VOLATILE_BUT_LIQUID,recent_24h,30m,4,4,-0.004371894913900655,-0.0179781678241038,-0.0179781678241038,-0.0179781678241038,-0.0179781678241038,0,,0.0,0.672786330189475,INSUFFICIENT
VOLATILE_BUT_LIQUID,recent_48h,15m,20,20,0.005483404565098285,0.00346363322302758,0.00314648619470668,-0.239614859909132,0.00346363322302758,0,,0.0,1.0,INSUFFICIENT
VOLATILE_BUT_LIQUID,recent_48h,1h,20,20,0.0221936139992512,0.0207045788816356,0.0190697898278391,-0.233020470598178,0.014998080447352,0,,0.0,1.0,INSUFFICIENT
VOLATILE_BUT_LIQUID,recent_48h,2h,20,20,0.046721548919627154,0.0426661754856219,0.0426386728474618,-0.207348181855926,0.014998080447352,0,,0.0,1.0,INSUFFICIENT
VOLATILE_BUT_LIQUID,recent_48h,30m,20,20,0.0112056500940838,0.00958451949559105,0.00661022840047545,-0.236159526065999,0.00958451949559105,0,,0.0,1.0,INSUFFICIENT
VOLATILE_BUT_LIQUID,recent_72h,15m,15,15,0.00786800526334664,-0.00705123093049854,-0.00705123093049854,-0.233650240646331,-0.00705123093049854,0,,0.0,1.0,INSUFFICIENT
VOLATILE_BUT_LIQUID,recent_72h,1h,15,15,0.0243521471300556,-0.0202928743980855,-0.0202928743980855,-0.252563455117203,-0.0202928743980855,0,,0.0,1.0,INSUFFICIENT
VOLATILE_BUT_LIQUID,recent_72h,2h,15,15,0.0403838592667033,-0.209763848083589,-0.209763848083589,-0.229960223747604,-0.0198199912542965,0,,0.0,1.0,INSUFFICIENT
VOLATILE_BUT_LIQUID,recent_72h,30m,15,15,0.0139374470081065,-0.00705123093049854,-0.00705123093049854,-0.261176995704974,-0.00705123093049854,0,,0.0,1.0,INSUFFICIENT
VOLATILE_BUT_LIQUID,recent_7d,15m,82,82,0.00575511486646802,0.0039738051139353,0.000295106721695887,-0.294614785339228,0.0039738051139353,0,,0.0,0.9218062739459587,WARN
VOLATILE_BUT_LIQUID,recent_7d,1h,82,82,0.02229810673122095,-0.205404940458276,-0.27594117953061,-2.32544225998477,-0.205404940458276,0,,0.0,0.917200950745613,FAIL
VOLATILE_BUT_LIQUID,recent_7d,2h,82,82,0.0434676457204961,-0.259068227205557,-2.23538079365983,-2.30938641472821,-0.259068227205557,0,,0.0,0.9189654837628316,FAIL
VOLATILE_BUT_LIQUID,recent_7d,30m,82,82,0.0111198374133628,0.0084673652123572,-0.216454215970025,-2.32555488528702,0.0084673652123572,0,,0.0,0.9186482111513364,FAIL
VOLUME_COLLAPSE,recent_7d,15m,1,1,-9.1958880203091e-05,-9.1958880203091e-05,-9.1958880203091e-05,-9.1958880203091e-05,-9.1958880203091e-05,1,0.0,,1.0,INSUFFICIENT
VOLUME_COLLAPSE,recent_7d,1h,1,1,0.00803648126332242,0.00803648126332242,0.00803648126332242,0.00803648126332242,0.00803648126332242,0,1.0,1.0,,INSUFFICIENT
VOLUME_COLLAPSE,recent_7d,2h,1,1,0.00828191422808894,0.00828191422808894,0.00828191422808894,0.00828191422808894,0.00828191422808894,0,1.0,1.0,,INSUFFICIENT
VOLUME_COLLAPSE,recent_7d,30m,1,1,0.00785371203423342,0.00785371203423342,0.00785371203423342,0.00785371203423342,0.00785371203423342,0,1.0,1.0,,INSUFFICIENT
WHALE_OR_HOLDER_CONCENTRATED,recent_24h,15m,91,89,0.000530225420879186,0.000129367737047112,-0.000437467267506256,-0.0231246662450337,0.000129367737047112,6,0.9120879120879121,1.0,1.0,WARN
WHALE_OR_HOLDER_CONCENTRATED,recent_24h,1h,91,86,0.002072790381646225,-0.00234754862627229,-0.0223421176368634,-0.0457809563136521,-0.00234754862627229,12,0.8131868131868132,1.0,1.0,FAIL
WHALE_OR_HOLDER_CONCENTRATED,recent_24h,2h,91,82,0.0035313067446583954,-0.0206964073058051,-0.0418715677070804,-0.0423090092067007,-0.0206964073058051,17,0.7142857142857143,1.0,1.0,FAIL
WHALE_OR_HOLDER_CONCENTRATED,recent_24h,30m,91,88,0.00101177814285944,0.000343647058501848,-0.00279096330569203,-0.0466980058804016,0.000343647058501848,9,0.8681318681318682,1.0,1.0,WARN
WHALE_OR_HOLDER_CONCENTRATED,recent_48h,15m,96,96,0.00129055708577221,-0.000627567418473154,-0.052684321959456,-1.00185951895648,-0.000627567418473154,13,0.8645833333333334,1.0,1.0,FAIL
WHALE_OR_HOLDER_CONCENTRATED,recent_48h,1h,96,96,0.0043446215980182,-0.0496335374318777,-0.983046326492514,-1.37632541610581,-0.0496335374318777,19,0.8020833333333334,1.0,1.0,FAIL
WHALE_OR_HOLDER_CONCENTRATED,recent_48h,2h,96,96,0.008543427729658635,-0.944056937956669,-1.24499331696469,-1.42508832481818,-0.944056937956669,27,0.71875,1.0,1.0,FAIL
WHALE_OR_HOLDER_CONCENTRATED,recent_48h,30m,96,96,0.002151797471301415,-0.0427319832212731,-0.707713313529299,-1.37850382247383,-0.0427319832212731,13,0.8645833333333334,1.0,1.0,FAIL
WHALE_OR_HOLDER_CONCENTRATED,recent_72h,15m,96,96,0.001316610397486695,-0.000575629452006976,-0.00765191767881717,-0.513709483485225,-0.000575629452006976,12,0.875,1.0,1.0,WARN
WHALE_OR_HOLDER_CONCENTRATED,recent_72h,1h,96,96,0.00457538849934341,-0.0106345080838294,-0.0516771901799853,-0.568714877735949,-0.0106345080838294,18,0.8125,1.0,1.0,FAIL
WHALE_OR_HOLDER_CONCENTRATED,recent_72h,2h,96,96,0.008022391007392365,-0.045207267065743,-0.0463804888401486,-0.56387364762486,-0.045207267065743,22,0.7708333333333334,1.0,1.0,FAIL
WHALE_OR_HOLDER_CONCENTRATED,recent_72h,30m,96,96,0.0024951098921607504,-0.00162557089709962,-0.01250651838053,-0.513709483485225,-0.00162557089709962,16,0.8333333333333334,1.0,1.0,WARN
WHALE_OR_HOLDER_CONCENTRATED,recent_7d,15m,322,321,0.00139047783556072,-0.0137486321401991,-0.487226208591069,-2.4695962388957,-0.0137486321401991,54,0.8291925465838509,1.0,0.8478328920852172,FAIL
WHALE_OR_HOLDER_CONCENTRATED,recent_7d,1h,322,321,0.00458066838262199,-0.430892355919683,-1.09517789955288,-3.79886291139992,-0.430892355919683,83,0.7391304347826086,1.0,0.6979475634737209,FAIL
WHALE_OR_HOLDER_CONCENTRATED,recent_7d,2h,322,320,0.00812980764872054,-0.890654747380068,-1.58210247430375,-3.79886291139992,-0.890654747380068,97,0.6925465838509317,1.0,0.7443096161634124,FAIL
WHALE_OR_HOLDER_CONCENTRATED,recent_7d,30m,322,321,0.00247704918730871,-0.131443953591156,-0.890096684546951,-2.54983315080452,-0.131443953591156,62,0.8043478260869565,1.0,0.8238839889633123,FAIL
