variant_name,window,horizon,capacity_usd,baseline_sample_count,baseline_median,baseline_p10,baseline_p5,baseline_p1,retained_sample_count,retained_median,retained_p10,retained_p5,retained_p1,opportunity_retention_rate,false_filter_rate,missed_profit_rate,loss_avoidance_rate,tail_improvement_p10,tail_improvement_p5,tail_improvement_p1,fee_minus_exit_cost_median,fee_minus_exit_cost_p10,worst_pool_contribution,verdict
retention_floor_30pct,recent_7d,1h,10,1884,0.0150508968939973,-0.259474650167342,-1.06987131251998,-4.4118564728487,200,3.24618088096827e-05,-0.007835553610482,-0.0143650676634261,-0.0210698311447315,0.08910212474297464,0.9108978752570254,0.9991781739659641,0.8352941176470589,0.25163909655686,1.0555062448565538,4.3907866417039685,-0.0301928184860478,-0.030228235726015,1.0000000000000002,WEAK
retention_floor_50pct,recent_7d,1h,10,1884,0.0150508968939973,-0.259474650167342,-1.06987131251998,-4.4118564728487,695,0.0087532842857517,-0.057528690410904,-0.874356885452702,-2.65107565533035,0.3591501028101439,0.6408498971898561,0.7553529207547413,0.5976470588235294,0.201945959756438,0.19551442706727795,1.76078081751835,-0.0512044777523197,-0.0654972004472004,0.6195208511211697,WEAK
false_filter_cap_50pct,recent_7d,1h,10,1884,0.0150508968939973,-0.259474650167342,-1.06987131251998,-4.4118564728487,1420,0.0150497643317411,-0.221283577555301,-0.890096684546951,-3.79969446574823,0.7642220699108979,0.2357779300891021,0.3139786708583866,0.2823529411764706,0.038191072612040994,0.1797746279730289,0.6121620071004701,-0.0691726829747682,-0.0811593078786118,0.4546387652979447,WEAK
missed_profit_cap_30pct,recent_7d,1h,10,1884,0.0150508968939973,-0.259474650167342,-1.06987131251998,-4.4118564728487,622,0.00959749147160218,-0.0396531165248903,-0.664398738378522,-2.65107565533035,0.32625085675119947,0.6737491432488005,0.7741098487042347,0.6564705882352941,0.21982153364245172,0.4054725741414579,1.76078081751835,-0.0510902234144518,-0.0654972004472004,0.5639252508408756,WEAK
fee_cost_nonnegative_median,recent_7d,1h,10,1884,0.0150508968939973,-0.259474650167342,-1.06987131251998,-4.4118564728487,0,,,,,0.0,1.0,1.0,1.0,,,,,,,INSUFFICIENT
fee_cost_nonnegative_p10,recent_7d,1h,10,1884,0.0150508968939973,-0.259474650167342,-1.06987131251998,-4.4118564728487,0,,,,,0.0,1.0,1.0,1.0,,,,,,,INSUFFICIENT
exit_depth_soft_10usd,recent_7d,1h,10,1884,0.0150508968939973,-0.259474650167342,-1.06987131251998,-4.4118564728487,200,3.24618088096827e-05,-0.007835553610482,-0.0143650676634261,-0.0210698311447315,0.08910212474297464,0.9108978752570254,0.9991781739659641,0.8352941176470589,0.25163909655686,1.0555062448565538,4.3907866417039685,-0.0301928184860478,-0.030228235726015,1.0000000000000002,WEAK
exit_depth_soft_20usd,recent_7d,1h,10,1884,0.0150508968939973,-0.259474650167342,-1.06987131251998,-4.4118564728487,0,,,,,0.0,1.0,1.0,1.0,,,,,,,INSUFFICIENT
fee_velocity_rank_top30,recent_7d,1h,10,1884,0.0150508968939973,-0.259474650167342,-1.06987131251998,-4.4118564728487,537,0.027790846092503,-0.230143862083498,-1.28722581810587,-7.25360114308659,0.3132282385195339,0.686771761480466,0.6747412281748763,0.8117647058823529,0.02933078808384401,-0.2173545055858901,-2.8417446702378903,-0.0825179480265981,-0.0979290633825757,0.5567764368949302,WEAK
fee_velocity_rank_top50,recent_7d,1h,10,1884,0.0150508968939973,-0.259474650167342,-1.06987131251998,-4.4118564728487,944,0.0278950943502755,-0.287056855336591,-1.38526008251368,-4.71887843744162,0.5325565455791638,0.4674434544208362,0.38631955531952045,0.6070588235294118,-0.027582205169248974,-0.31538876999370014,-0.30702196459291997,-0.077311964830011,-0.0960539447076262,0.6336299976735698,WEAK
fee_depth_balanced_score,recent_7d,1h,10,1884,0.0150508968939973,-0.259474650167342,-1.06987131251998,-4.4118564728487,874,0.0278950943502755,-0.259474650167342,-1.23061350383916,-6.63315629988564,0.4962302947224126,0.5037697052775874,0.4073553730813091,0.6470588235294117,0.0,-0.16074219131918,-2.2212998270369404,-0.0783227134300235,-0.096098254507641,0.5936606942208613,WEAK
fee_depth_tail_guard,recent_7d,1h,10,1884,0.0150508968939973,-0.259474650167342,-1.06987131251998,-4.4118564728487,695,0.0087532842857517,-0.057528690410904,-0.874356885452702,-2.65107565533035,0.3591501028101439,0.6408498971898561,0.7553529207547413,0.5976470588235294,0.201945959756438,0.19551442706727795,1.76078081751835,-0.0512044777523197,-0.0654972004472004,0.6195208511211697,WEAK
small_cap_10usd_lenient,recent_7d,1h,10,1884,0.0150508968939973,-0.259474650167342,-1.06987131251998,-4.4118564728487,224,2.49729442991392e-05,-0.00739195174833574,-0.0133540171341147,-0.0195926469283791,0.10006854009595613,0.8999314599040439,0.9991515163508846,0.8164705882352941,0.25208269841900627,1.0565172953858653,4.392263825920321,-0.0301927058658229,-0.0302270359494516,1.0000000000000002,WEAK
small_cap_20usd_lenient,recent_7d,1h,10,1884,0.0150508968939973,-0.259474650167342,-1.06987131251998,-4.4118564728487,0,,,,,0.0,1.0,1.0,1.0,,,,,,,INSUFFICIENT
hybrid_fee_depth_plus_data_freshness,recent_7d,1h,10,1884,0.0150508968939973,-0.259474650167342,-1.06987131251998,-4.4118564728487,0,,,,,0.0,1.0,1.0,1.0,,,,,,,INSUFFICIENT
hybrid_fee_depth_plus_regime_soft,recent_7d,1h,10,1884,0.0150508968939973,-0.259474650167342,-1.06987131251998,-4.4118564728487,182,0.0294889557297336,-0.287619549233199,-1.19603529434451,-3.8058401056367,0.0993831391363948,0.9006168608636053,0.8651946667518515,0.9129411764705883,-0.028144899065856988,-0.12616398182453015,0.6060163672119998,-0.0605282471415456,-0.0663890187613563,0.8397551959537367,BAD
retention_floor_30pct,recent_7d,1h,20,1884,0.0150508968939973,-0.259474650167342,-1.06987131251998,-4.4118564728487,200,3.24618088096827e-05,-0.007835553610482,-0.0143650676634261,-0.0210698311447315,0.08910212474297464,0.9108978752570254,0.9991781739659641,0.8352941176470589,0.25163909655686,1.0555062448565538,4.3907866417039685,-0.0616960535471038,-0.0618240318256731,1.0000000000000002,WEAK
retention_floor_50pct,recent_7d,1h,20,1884,0.0150508968939973,-0.259474650167342,-1.06987131251998,-4.4118564728487,930,0.00844791528110518,-0.25549863191936,-1.0029849499011,-3.78743952701592,0.48046607265250174,0.5195339273474983,0.5913079546248035,0.4611764705882353,0.003976018247981994,0.06688636261887981,0.6244169458327802,-0.146788250512676,-0.216860003539547,0.5065431825746605,WEAK
false_filter_cap_50pct,recent_7d,1h,20,1884,0.0150508968939973,-0.259474650167342,-1.06987131251998,-4.4118564728487,1632,0.0126529594223458,-0.216454215970025,-0.984767097208122,-3.80179370776767,0.8711446196024675,0.12885538039753255,0.2286186230992359,0.1505882352941177,0.04302043419731699,0.08510421531185786,0.6100627650810302,-0.215470136063763,-0.269436858573688,0.5008543342498762,WEAK
missed_profit_cap_30pct,recent_7d,1h,20,1884,0.0150508968939973,-0.259474650167342,-1.06987131251998,-4.4118564728487,844,0.00906344153262545,-0.204947302746084,-0.865364141706839,-3.79886291139992,0.4407128169979438,0.5592871830020562,0.6109911699168648,0.5270588235294118,0.054527347421258004,0.20450717081314096,0.6129935614487798,-0.14542650969715,-0.217263716504722,0.46924985368239436,WEAK
fee_cost_nonnegative_median,recent_7d,1h,20,1884,0.0150508968939973,-0.259474650167342,-1.06987131251998,-4.4118564728487,0,,,,,0.0,1.0,1.0,1.0,,,,,,,INSUFFICIENT
fee_cost_nonnegative_p10,recent_7d,1h,20,1884,0.0150508968939973,-0.259474650167342,-1.06987131251998,-4.4118564728487,0,,,,,0.0,1.0,1.0,1.0,,,,,,,INSUFFICIENT
exit_depth_soft_10usd,recent_7d,1h,20,1884,0.0150508968939973,-0.259474650167342,-1.06987131251998,-4.4118564728487,0,,,,,0.0,1.0,1.0,1.0,,,,,,,INSUFFICIENT
exit_depth_soft_20usd,recent_7d,1h,20,1884,0.0150508968939973,-0.259474650167342,-1.06987131251998,-4.4118564728487,200,3.24618088096827e-05,-0.007835553610482,-0.0143650676634261,-0.0210698311447315,0.08910212474297464,0.9108978752570254,0.9991781739659641,0.8352941176470589,0.25163909655686,1.0555062448565538,4.3907866417039685,-0.0616960535471038,-0.0618240318256731,1.0000000000000002,WEAK
fee_velocity_rank_top30,recent_7d,1h,20,1884,0.0150508968939973,-0.259474650167342,-1.06987131251998,-4.4118564728487,537,0.027790846092503,-0.230143862083498,-1.28722581810587,-7.25360114308659,0.3132282385195339,0.686771761480466,0.6747412281748763,0.8117647058823529,0.02933078808384401,-0.2173545055858901,-2.8417446702378903,-0.253700333204033,-0.310252482088385,0.5567764368949302,WEAK
fee_velocity_rank_top50,recent_7d,1h,20,1884,0.0150508968939973,-0.259474650167342,-1.06987131251998,-4.4118564728487,944,0.0278950943502755,-0.287056855336591,-1.38526008251368,-4.71887843744162,0.5325565455791638,0.4674434544208362,0.38631955531952045,0.6070588235294118,-0.027582205169248974,-0.31538876999370014,-0.30702196459291997,-0.234596725876437,-0.303371552877045,0.6336299976735698,WEAK
fee_depth_balanced_score,recent_7d,1h,20,1884,0.0150508968939973,-0.259474650167342,-1.06987131251998,-4.4118564728487,873,0.0278950943502755,-0.259474650167342,-1.19603529434451,-6.63315629988564,0.49554489376285127,0.5044551062371487,0.4075305354265057,0.6470588235294117,0.0,-0.12616398182453015,-2.2212998270369404,-0.238305730547479,-0.303534227467469,0.5851540884342694,WEAK
fee_depth_tail_guard,recent_7d,1h,20,1884,0.0150508968939973,-0.259474650167342,-1.06987131251998,-4.4118564728487,930,0.00844791528110518,-0.25549863191936,-1.0029849499011,-3.78743952701592,0.48046607265250174,0.5195339273474983,0.5913079546248035,0.4611764705882353,0.003976018247981994,0.06688636261887981,0.6244169458327802,-0.146788250512676,-0.216860003539547,0.5065431825746605,WEAK
small_cap_10usd_lenient,recent_7d,1h,20,1884,0.0150508968939973,-0.259474650167342,-1.06987131251998,-4.4118564728487,0,,,,,0.0,1.0,1.0,1.0,,,,,,,INSUFFICIENT
small_cap_20usd_lenient,recent_7d,1h,20,1884,0.0150508968939973,-0.259474650167342,-1.06987131251998,-4.4118564728487,224,2.49729442991392e-05,-0.00739195174833574,-0.0133540171341147,-0.0195926469283791,0.10006854009595613,0.8999314599040439,0.9991515163508846,0.8164705882352941,0.25208269841900627,1.0565172953858653,4.392263825920321,-0.0616956466187744,-0.0618196964959214,1.0000000000000002,WEAK
hybrid_fee_depth_plus_data_freshness,recent_7d,1h,20,1884,0.0150508968939973,-0.259474650167342,-1.06987131251998,-4.4118564728487,54,0.0331194962547986,-0.523371100083925,-0.713219987426629,-1.09665567891209,0.029472241261137764,0.9705277587388622,0.9492642426546889,0.9741176470588235,-0.26389644991658295,0.35665132509335096,3.3152007939366097,-0.214421046893955,-0.220838499291159,0.6821914265231599,BAD
hybrid_fee_depth_plus_regime_soft,recent_7d,1h,20,1884,0.0150508968939973,-0.259474650167342,-1.06987131251998,-4.4118564728487,281,0.0293683222882988,-0.520898539942748,-1.07653045830466,-4.62791734800842,0.1514736120630569,0.8485263879369431,0.7520211527833808,0.8588235294117648,-0.26142388977540604,-0.006659145784680076,-0.2160608751597204,-0.190045127844005,-0.215470136063763,0.8338023572542727,BAD
retention_floor_30pct,recent_7d,2h,20,1877,0.0233226859644982,-0.621378335494478,-1.35644062858408,-4.71815592772652,199,4.36865510439952e-05,-0.00864680500808427,-0.0147870896426244,-0.0218699261810236,0.08714596949891068,0.9128540305010894,0.999352765394994,0.842,0.6127315304863937,1.3416535389414557,4.696286001545496,-0.061693669800439,-0.0618210528106493,0.9999999999999996,WEAK
retention_floor_50pct,recent_7d,2h,20,1877,0.0233226859644982,-0.621378335494478,-1.35644062858408,-4.71815592772652,926,0.0154102072402138,-0.545303978204636,-1.02181542160154,-3.80060877596772,0.49019607843137253,0.5098039215686274,0.6015361956089386,0.498,0.07607435728984191,0.33462520698253995,0.9175471517588001,-0.144776946389918,-0.215898781914412,0.5332689909070354,WEAK
false_filter_cap_50pct,recent_7d,2h,20,1877,0.0233226859644982,-0.621378335494478,-1.35644062858408,-4.71815592772652,1627,0.0202087860739326,-0.597583491828757,-1.2170559829902,-6.53404939059616,0.8634713144517067,0.1365286855482934,0.195218119460905,0.124,0.023794843665720933,0.13938464559388009,-1.8158934628696404,-0.212433743077775,-0.264519311976569,0.4910237078968677,WEAK
