variant_name,window,horizon,capacity_usd,raw_sample_count,valid_sample_count,retained_sample_count,filtered_out_count,invalid_count,opportunity_retention_rate,data_quality_distribution,fee_proxy_coverage,exit_depth_coverage,leakage_risk_distribution
false_filter_cap_50pct,recent_24h,30m,10,320,308,277,31,12,0.9011857707509882,"{""invalid"": 12, ""ok"": 308}",1.0,1.0,"{""LOW"": 320}"
false_filter_cap_50pct,recent_24h,30m,20,320,308,281,27,12,0.9090909090909091,"{""invalid"": 12, ""ok"": 308}",1.0,1.0,"{""LOW"": 320}"
false_filter_cap_50pct,recent_24h,30m,50,320,308,308,0,12,1.0,"{""invalid"": 12, ""ok"": 308}",1.0,1.0,"{""LOW"": 320}"
false_filter_cap_50pct,recent_48h,15m,10,384,384,264,120,0,0.6862170087976539,"{""ok"": 384}",1.0,1.0,"{""LOW"": 384}"
false_filter_cap_50pct,recent_48h,15m,20,384,384,312,72,0,0.8064516129032258,"{""ok"": 384}",1.0,1.0,"{""LOW"": 384}"
false_filter_cap_50pct,recent_48h,15m,50,384,384,384,0,0,1.0,"{""ok"": 384}",1.0,1.0,"{""LOW"": 384}"
false_filter_cap_50pct,recent_48h,1h,10,384,384,264,120,0,0.6753246753246753,"{""ok"": 384}",1.0,1.0,"{""LOW"": 384}"
false_filter_cap_50pct,recent_48h,1h,20,384,384,312,72,0,0.7987012987012987,"{""ok"": 384}",1.0,1.0,"{""LOW"": 384}"
false_filter_cap_50pct,recent_48h,1h,50,384,384,384,0,0,1.0,"{""ok"": 384}",1.0,1.0,"{""LOW"": 384}"
false_filter_cap_50pct,recent_48h,2h,10,384,384,264,120,0,0.6793103448275862,"{""ok"": 384}",1.0,1.0,"{""LOW"": 384}"
false_filter_cap_50pct,recent_48h,2h,20,384,384,312,72,0,0.7965517241379311,"{""ok"": 384}",1.0,1.0,"{""LOW"": 384}"
false_filter_cap_50pct,recent_48h,2h,50,384,384,384,0,0,1.0,"{""ok"": 384}",1.0,1.0,"{""LOW"": 384}"
false_filter_cap_50pct,recent_48h,30m,10,384,384,264,120,0,0.6834319526627219,"{""ok"": 384}",1.0,1.0,"{""LOW"": 384}"
false_filter_cap_50pct,recent_48h,30m,20,384,384,312,72,0,0.8106508875739645,"{""ok"": 384}",1.0,1.0,"{""LOW"": 384}"
false_filter_cap_50pct,recent_48h,30m,50,384,384,384,0,0,1.0,"{""ok"": 384}",1.0,1.0,"{""LOW"": 384}"
false_filter_cap_50pct,recent_72h,15m,10,384,384,215,169,0,0.5597269624573379,"{""ok"": 384}",1.0,1.0,"{""LOW"": 384}"
false_filter_cap_50pct,recent_72h,15m,20,384,384,264,120,0,0.6996587030716723,"{""ok"": 384}",1.0,1.0,"{""LOW"": 384}"
false_filter_cap_50pct,recent_72h,15m,50,384,384,370,14,0,0.9658703071672355,"{""ok"": 384}",1.0,1.0,"{""LOW"": 384}"
false_filter_cap_50pct,recent_72h,1h,10,384,384,215,169,0,0.5335820895522388,"{""ok"": 384}",1.0,1.0,"{""LOW"": 384}"
false_filter_cap_50pct,recent_72h,1h,20,384,384,264,120,0,0.6828358208955224,"{""ok"": 384}",1.0,1.0,"{""LOW"": 384}"
false_filter_cap_50pct,recent_72h,1h,50,384,384,370,14,0,0.9552238805970149,"{""ok"": 384}",1.0,1.0,"{""LOW"": 384}"
false_filter_cap_50pct,recent_72h,2h,10,384,384,215,169,0,0.5419847328244275,"{""ok"": 384}",1.0,1.0,"{""LOW"": 384}"
false_filter_cap_50pct,recent_72h,2h,20,384,384,264,120,0,0.6755725190839694,"{""ok"": 384}",1.0,1.0,"{""LOW"": 384}"
false_filter_cap_50pct,recent_72h,2h,50,384,384,370,14,0,0.950381679389313,"{""ok"": 384}",1.0,1.0,"{""LOW"": 384}"
false_filter_cap_50pct,recent_72h,30m,10,384,384,215,169,0,0.5563636363636364,"{""ok"": 384}",1.0,1.0,"{""LOW"": 384}"
false_filter_cap_50pct,recent_72h,30m,20,384,384,264,120,0,0.6981818181818182,"{""ok"": 384}",1.0,1.0,"{""LOW"": 384}"
false_filter_cap_50pct,recent_72h,30m,50,384,384,370,14,0,0.9672727272727273,"{""ok"": 384}",1.0,1.0,"{""LOW"": 384}"
false_filter_cap_50pct,recent_7d,15m,10,1892,1887,1423,464,5,0.7577120822622108,"{""invalid"": 5, ""ok"": 1887}",0.9619450317124736,0.9619450317124736,"{""LOW"": 1892}"
false_filter_cap_50pct,recent_7d,15m,20,1892,1887,1635,252,5,0.865681233933162,"{""invalid"": 5, ""ok"": 1887}",0.9619450317124736,0.9619450317124736,"{""LOW"": 1892}"
false_filter_cap_50pct,recent_7d,15m,50,1892,1887,1778,109,5,0.9460154241645244,"{""invalid"": 5, ""ok"": 1887}",0.9619450317124736,0.9619450317124736,"{""LOW"": 1892}"
false_filter_cap_50pct,recent_7d,1h,10,1892,1884,1420,464,8,0.7642220699108979,"{""invalid"": 8, ""ok"": 1884}",0.9619450317124736,0.9619450317124736,"{""LOW"": 1892}"
false_filter_cap_50pct,recent_7d,1h,20,1892,1884,1632,252,8,0.8711446196024675,"{""invalid"": 8, ""ok"": 1884}",0.9619450317124736,0.9619450317124736,"{""LOW"": 1892}"
false_filter_cap_50pct,recent_7d,1h,50,1892,1884,1775,109,8,0.9479095270733379,"{""invalid"": 8, ""ok"": 1884}",0.9619450317124736,0.9619450317124736,"{""LOW"": 1892}"
false_filter_cap_50pct,recent_7d,2h,10,1892,1877,1415,462,15,0.766158315177923,"{""invalid"": 15, ""ok"": 1877}",0.9619450317124736,0.9619450317124736,"{""LOW"": 1892}"
false_filter_cap_50pct,recent_7d,2h,20,1892,1877,1627,250,15,0.8634713144517067,"{""invalid"": 15, ""ok"": 1877}",0.9619450317124736,0.9619450317124736,"{""LOW"": 1892}"
false_filter_cap_50pct,recent_7d,2h,50,1892,1877,1770,107,15,0.9426289034132171,"{""invalid"": 15, ""ok"": 1877}",0.9619450317124736,0.9619450317124736,"{""LOW"": 1892}"
false_filter_cap_50pct,recent_7d,30m,10,1892,1886,1422,464,6,0.7578947368421053,"{""invalid"": 6, ""ok"": 1886}",0.9619450317124736,0.9619450317124736,"{""LOW"": 1892}"
false_filter_cap_50pct,recent_7d,30m,20,1892,1886,1634,252,6,0.8690789473684211,"{""invalid"": 6, ""ok"": 1886}",0.9619450317124736,0.9619450317124736,"{""LOW"": 1892}"
false_filter_cap_50pct,recent_7d,30m,50,1892,1886,1777,109,6,0.9473684210526315,"{""invalid"": 6, ""ok"": 1886}",0.9619450317124736,0.9619450317124736,"{""LOW"": 1892}"
fee_cost_nonnegative_median,recent_24h,15m,10,320,312,0,312,8,0.0,"{""invalid"": 8, ""ok"": 312}",1.0,1.0,"{""LOW"": 320}"
fee_cost_nonnegative_median,recent_24h,15m,20,320,312,0,312,8,0.0,"{""invalid"": 8, ""ok"": 312}",1.0,1.0,"{""LOW"": 320}"
fee_cost_nonnegative_median,recent_24h,15m,50,320,312,0,312,8,0.0,"{""invalid"": 8, ""ok"": 312}",1.0,1.0,"{""LOW"": 320}"
fee_cost_nonnegative_median,recent_24h,1h,10,320,300,0,300,20,0.0,"{""invalid"": 20, ""ok"": 300}",1.0,1.0,"{""LOW"": 320}"
fee_cost_nonnegative_median,recent_24h,1h,20,320,300,0,300,20,0.0,"{""invalid"": 20, ""ok"": 300}",1.0,1.0,"{""LOW"": 320}"
fee_cost_nonnegative_median,recent_24h,1h,50,320,300,0,300,20,0.0,"{""invalid"": 20, ""ok"": 300}",1.0,1.0,"{""LOW"": 320}"
fee_cost_nonnegative_median,recent_24h,2h,10,320,284,0,284,36,0.0,"{""invalid"": 36, ""ok"": 284}",1.0,1.0,"{""LOW"": 320}"
fee_cost_nonnegative_median,recent_24h,2h,20,320,284,0,284,36,0.0,"{""invalid"": 36, ""ok"": 284}",1.0,1.0,"{""LOW"": 320}"
fee_cost_nonnegative_median,recent_24h,2h,50,320,284,0,284,36,0.0,"{""invalid"": 36, ""ok"": 284}",1.0,1.0,"{""LOW"": 320}"
fee_cost_nonnegative_median,recent_24h,30m,10,320,308,0,308,12,0.0,"{""invalid"": 12, ""ok"": 308}",1.0,1.0,"{""LOW"": 320}"
fee_cost_nonnegative_median,recent_24h,30m,20,320,308,0,308,12,0.0,"{""invalid"": 12, ""ok"": 308}",1.0,1.0,"{""LOW"": 320}"
fee_cost_nonnegative_median,recent_24h,30m,50,320,308,0,308,12,0.0,"{""invalid"": 12, ""ok"": 308}",1.0,1.0,"{""LOW"": 320}"
fee_cost_nonnegative_median,recent_48h,15m,10,384,384,0,384,0,0.0,"{""ok"": 384}",1.0,1.0,"{""LOW"": 384}"
fee_cost_nonnegative_median,recent_48h,15m,20,384,384,0,384,0,0.0,"{""ok"": 384}",1.0,1.0,"{""LOW"": 384}"
