pool_address,token_a,token_b,token_a_decimals,token_b_decimals,tick_spacing,current_tick,sqrt_price,liquidity,amm_config,reward_infos_count,sdk_decode_success,confidence,invalid_reason
G8LqPHYAMcwP14CDgk9XsV9VdwpsW3aJ59VubwnyrJVr,So11111111111111111111111111111111111111112,USD1ttGY1N17NEEHLmELoaybftRBUSErhqYiQzvEmuB,9,6,1,-26390,4930749561054394383,1465818904,3h2e43PunVA5K34vwKCLHWhZF4aZpyaC9RmxvshGAQpL,3,true,0.92,
7PksjxWEJaDrNp3XUUHiKRgkPsmmi6WDnYSFpRvn8G2T,So11111111111111111111111111111111111111112,G7S6MqZnyY5FP8cdB2DbfSGD5p3DZDYrAFq23MzFaHWp,9,6,1,61797,405290170752477598090,5992770492622,9iFER3bpjf1PTTCQCfTRu17EJgvsxo9pVyA9QWwEuX4x,3,true,0.92,
4AnR1SU1eF2YMadkdkXoQqdf5Hc368nforDGbCiDTVw7,Ce2gx9KGXJ6C9Mp5b5x1sn9Mg87JwEbrQby4Zqo3pump,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,6,6,10,-36050,3041990795970714870,1384261516491,DrdecJVzkaRsf1TQu1g7iFncaokikVTHqpzPjenjRySY,3,true,0.92,
FKzoAV4wZYteNV1xDDr5nQaSLrYEUWwerxvBkKVXNCB,So11111111111111111111111111111111111111112,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,9,6,1,-26392,4930101958914688802,17881192225,3h2e43PunVA5K34vwKCLHWhZF4aZpyaC9RmxvshGAQpL,3,true,0.92,
AqfwQ6tvFZqN4AQZAWgYQXVJ7JNVF9T2vGMt5VWHAPQS,BPxxfRCXkUVhig4HS1Lh7kZqV6SPJhzfEk4x6fVBjPCy,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,9,6,10,-81877,307669195498072359,77836682996,DrdecJVzkaRsf1TQu1g7iFncaokikVTHqpzPjenjRySY,3,true,0.92,
61R1ndXxvsWXXkWSyNkCxnzwd3zUNB8Q2ibmkiLPC8ht,4k3Dyjzvzp8eMZWUXbBCjEvwSkkk59S5iCNLY3QrkX6R,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,6,6,60,-4468,14754168019794169856,128294566066,E64NGkDLLCdQ2yFNPcavaKptrEgmiQaNykUuLC1Qgwyp,3,true,0.92,
DfptScHTyb9YwDV27HsDaBAwPr38ij9Qu3HgEwD8hs4h,So11111111111111111111111111111111111111112,4k3Dyjzvzp8eMZWUXbBCjEvwSkkk59S5iCNLY3QrkX6R,9,6,60,-21966,6151364446126508917,18488720028771,47Nq74YtwjVeTQF6KFKRKU4cY1Vd5AXBHpYRkubkDLZi,3,true,0.92,
Enfoa5Xdtirwa46xxa5LUVcQWe7EUb2pGzTjfvU7EBS1,So11111111111111111111111111111111111111112,4k3Dyjzvzp8eMZWUXbBCjEvwSkkk59S5iCNLY3QrkX6R,9,6,60,-21933,6161380262250809519,666994471035,E64NGkDLLCdQ2yFNPcavaKptrEgmiQaNykUuLC1Qgwyp,3,true,0.92,
HS245zT4sjkzrhzqiNDr1WWpqbd9FDisiU61sUsf8MnV,4k3Dyjzvzp8eMZWUXbBCjEvwSkkk59S5iCNLY3QrkX6R,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,6,6,60,-4454,14764325687499577386,27066360115,E64NGkDLLCdQ2yFNPcavaKptrEgmiQaNykUuLC1Qgwyp,3,true,0.92,
9ZpFyuMaHjSbM8feuarrWf4VZN2gmLxtwEc3e471n1KN,JUPyiwrYJFskUPiHa7hkeR8VUtAeFoSYbKedZNsDvCN,4k3Dyjzvzp8eMZWUXbBCjEvwSkkk59S5iCNLY3QrkX6R,6,6,60,-12366,9940598239372166317,2136903290,E64NGkDLLCdQ2yFNPcavaKptrEgmiQaNykUuLC1Qgwyp,3,true,0.92,
