rank,pool_address,protocol,name,token0_symbol,token1_symbol,fee_tier_bps,tvl_usd,volume_usd_h24,price_change_pct_h24,risk_level,risk_score,best_size_usdc,best_range_label,best_range_pct,expected_fee_usd_per_day,expected_il_usd_per_day,gas_usd_per_cycle,net_usd_per_day,fee_to_gas_ratio,score,go_no_go,reason
32,0xe846373c1a92b167b4e9cd5d8e4d6b1db9e90ec7,aerodrome,EURC / USDC 0.05%,EURC,USDC,5,2854095.3119,5702435.07522135,-0.694,MEDIUM,25,1.0,narrow_5pct,0.05,0.000999,0.004164,0.3,-0.303165,0.0033,0.2091,NO_GO,risk=MEDIUM
33,0xe070797535b13431808f8fc81fdbe7b41362960ed0b55bc2b6117c49c51b7eb9,aerodrome,ETH / USDC 0.3%,ETH,USDC,30,3380017.1646,1604569.97688043,0.767,MEDIUM,25,1.0,narrow_5pct,0.05,0.001424,0.004602,0.3,-0.303178,0.0047,0.2091,NO_GO,risk=MEDIUM
34,0x74f72788f4814d7ff3c49b44684aa98eee140c0e,aerodrome,msETH / WETH 0.05%,msETH,WETH,5,20659794.0206,4918852.048633,0.561,MEDIUM,25,1.0,narrow_5pct,0.05,0.000119,0.003366,0.3,-0.303247,0.0004,0.209,NO_GO,risk=MEDIUM
35,0x1ca42c7219f0cb1b67927e26502320cb98f725bd,aerodrome,EURC / USDC 0.01%,EURC,USDC,1,192519.5447,1127934.18908764,-0.656,MEDIUM,25,1.0,narrow_5pct,0.05,0.000586,0.003936,0.3,-0.30335,0.002,0.209,NO_GO,risk=MEDIUM
36,0xb1383dc47d9971fc999c3a9088f79e744b376e97,aerodrome,cbETH / WETH 0.05%,cbETH,WETH,5,1179119.6643,888184.074839705,0.646,MEDIUM,25,1.0,narrow_5pct,0.05,0.000377,0.003876,0.3,-0.303499,0.0013,0.209,NO_GO,risk=MEDIUM
37,0x12d76c5c8ec8edffd3c143995b0aa43fe44a6d71eb9113796272909e54b8e078,aerodrome,cbBTC / USDC 0.05%,cbBTC,USDC,5,3993896.8526,16454060.6412459,0.978,MEDIUM,25,1.0,narrow_5pct,0.05,0.00206,0.005868,0.3,-0.303808,0.0069,0.2089,NO_GO,risk=MEDIUM
38,0x7aea2e8a3843516afa07293a10ac8e49906dabd1,aerodrome,cbBTC / WETH 0.05%,cbBTC,WETH,5,2738202.0425,6108338.94708627,0.943,MEDIUM,25,1.0,narrow_5pct,0.05,0.001115,0.005658,0.3,-0.304543,0.0037,0.2087,NO_GO,risk=MEDIUM
39,0x9d14ff91ae2c6e3d1a760542248b6c7f206894b0,aerodrome,cbBTC / USDC 0.021%,cbBTC,USDC,2.1,723013.5575,5579771.82782605,1.031,MEDIUM,25,1.0,narrow_5pct,0.05,0.001621,0.006186,0.3,-0.304565,0.0054,0.2087,NO_GO,risk=MEDIUM
40,0xfbb6eed8e7aa03b138556eedaf5d271a5e1e43ef,aerodrome,cbBTC / USDC 0.05%,cbBTC,USDC,5,7276211.0203,15559709.2325096,0.978,MEDIUM,25,1.0,narrow_5pct,0.05,0.001069,0.005868,0.3,-0.304799,0.0036,0.2086,NO_GO,risk=MEDIUM
41,0x29183f918920a2aef0115a9c7374945589968aea,aerodrome,SOSO / USDC 0.01%,SOSO,USDC,1,294167.5021,2173639.51405107,-0.905,MEDIUM,25,1.0,narrow_5pct,0.05,0.000739,0.00543,0.3,-0.304691,0.0025,0.2086,NO_GO,risk=MEDIUM
42,0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,aerodrome,cbBTC / WETH 0.01%,cbBTC,WETH,1,3657760.1852,47946386.5288782,1.046,MEDIUM,25,1.0,narrow_5pct,0.05,0.001311,0.006276,0.3,-0.304965,0.0044,0.2085,NO_GO,risk=MEDIUM
43,0xec558e484cc9f2210714e345298fdc53b253c27d,aerodrome,cbBTC / USDC 0.3%,cbBTC,USDC,30,4741671.606,1521537.34738314,1.026,MEDIUM,25,1.0,narrow_5pct,0.05,0.000963,0.006156,0.3,-0.305193,0.0032,0.2085,NO_GO,risk=MEDIUM
44,0xb94b22332abf5f89877a14cc88f2abc48c34b3df,aerodrome,cbBTC / USDC 0.01%,cbBTC,USDC,1,2335802.1799,22644739.2200665,1.068,MEDIUM,25,1.0,narrow_5pct,0.05,0.000969,0.006408,0.3,-0.305439,0.0032,0.2084,NO_GO,risk=MEDIUM
45,0x8c7080564b5a792a33ef2fd473fba6364d5495e5,aerodrome,cbBTC / WETH 0.3%,cbBTC,WETH,30,9110934.5573,1731673.26767178,1.126,MEDIUM,25,1.0,narrow_5pct,0.05,0.00057,0.006756,0.3,-0.306186,0.0019,0.2082,NO_GO,risk=MEDIUM
