pool_address,protocol,name,token0_symbol,token1_symbol,fee_tier_bps,tvl_usd,volume_usd_h24,price_change_pct_h24,risk_level,size_usdc,range_label,range_pct,expected_fee_usd_per_day,expected_il_usd_per_day,gas_usd_per_cycle,net_usd_per_day,fee_to_gas_ratio,il_pct_per_day,can_tiny_live
0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,aerodrome,WETH / USDC 0.01%,WETH,USDC,1,3903964.8107,47474328.8330754,0.602,LOW,3.0,medium_15pct,0.15,0.003648,0.005418,0.3,-0.30177,0.0122,0.001806,True
0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,aerodrome,WETH / USDC 0.01%,WETH,USDC,1,3903964.8107,47474328.8330754,0.602,LOW,5.0,medium_15pct,0.15,0.00608,0.00903,0.3,-0.30295,0.0203,0.001806,True
0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,aerodrome,WETH / USDC 0.01%,WETH,USDC,1,3903964.8107,47474328.8330754,0.602,LOW,10.0,medium_15pct,0.15,0.012161,0.01806,0.3,-0.305899,0.0405,0.001806,True
0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,aerodrome,WETH / USDC 0.01%,WETH,USDC,1,3903964.8107,47474328.8330754,0.602,LOW,1.0,wide_40pct,0.4,0.001216,0.000602,0.3,-0.299386,0.0041,0.000602,True
0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,aerodrome,WETH / USDC 0.01%,WETH,USDC,1,3903964.8107,47474328.8330754,0.602,LOW,3.0,wide_40pct,0.4,0.003648,0.001806,0.3,-0.298158,0.0122,0.000602,True
0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,aerodrome,WETH / USDC 0.01%,WETH,USDC,1,3903964.8107,47474328.8330754,0.602,LOW,5.0,wide_40pct,0.4,0.00608,0.00301,0.3,-0.29693,0.0203,0.000602,True
0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,aerodrome,WETH / USDC 0.01%,WETH,USDC,1,3903964.8107,47474328.8330754,0.602,LOW,10.0,wide_40pct,0.4,0.012161,0.00602,0.3,-0.293859,0.0405,0.000602,True
0x42d4a22cad0f5a49681a5715ce994af73a43b76b,aerodrome,cbBTC / WETH 0.05%,cbBTC,WETH,5,3341213.7187,42129739.5164709,1.001,MEDIUM,1.0,narrow_5pct,0.05,0.006305,0.006006,0.3,-0.299701,0.021,0.006006,False
0x42d4a22cad0f5a49681a5715ce994af73a43b76b,aerodrome,cbBTC / WETH 0.05%,cbBTC,WETH,5,3341213.7187,42129739.5164709,1.001,MEDIUM,3.0,narrow_5pct,0.05,0.018914,0.018018,0.3,-0.299104,0.063,0.006006,False
0x42d4a22cad0f5a49681a5715ce994af73a43b76b,aerodrome,cbBTC / WETH 0.05%,cbBTC,WETH,5,3341213.7187,42129739.5164709,1.001,MEDIUM,5.0,narrow_5pct,0.05,0.031523,0.03003,0.3,-0.298507,0.1051,0.006006,False
0x42d4a22cad0f5a49681a5715ce994af73a43b76b,aerodrome,cbBTC / WETH 0.05%,cbBTC,WETH,5,3341213.7187,42129739.5164709,1.001,MEDIUM,10.0,narrow_5pct,0.05,0.063046,0.06006,0.3,-0.297014,0.2102,0.006006,False
0x42d4a22cad0f5a49681a5715ce994af73a43b76b,aerodrome,cbBTC / WETH 0.05%,cbBTC,WETH,5,3341213.7187,42129739.5164709,1.001,MEDIUM,1.0,medium_15pct,0.15,0.006305,0.003003,0.3,-0.296698,0.021,0.003003,False
0x42d4a22cad0f5a49681a5715ce994af73a43b76b,aerodrome,cbBTC / WETH 0.05%,cbBTC,WETH,5,3341213.7187,42129739.5164709,1.001,MEDIUM,3.0,medium_15pct,0.15,0.018914,0.009009,0.3,-0.290095,0.063,0.003003,False
0x42d4a22cad0f5a49681a5715ce994af73a43b76b,aerodrome,cbBTC / WETH 0.05%,cbBTC,WETH,5,3341213.7187,42129739.5164709,1.001,MEDIUM,5.0,medium_15pct,0.15,0.031523,0.015015,0.3,-0.283492,0.1051,0.003003,False
0x42d4a22cad0f5a49681a5715ce994af73a43b76b,aerodrome,cbBTC / WETH 0.05%,cbBTC,WETH,5,3341213.7187,42129739.5164709,1.001,MEDIUM,10.0,medium_15pct,0.15,0.063046,0.03003,0.3,-0.266984,0.2102,0.003003,False
0x42d4a22cad0f5a49681a5715ce994af73a43b76b,aerodrome,cbBTC / WETH 0.05%,cbBTC,WETH,5,3341213.7187,42129739.5164709,1.001,MEDIUM,1.0,wide_40pct,0.4,0.006305,0.001001,0.3,-0.294696,0.021,0.001001,False
0x42d4a22cad0f5a49681a5715ce994af73a43b76b,aerodrome,cbBTC / WETH 0.05%,cbBTC,WETH,5,3341213.7187,42129739.5164709,1.001,MEDIUM,3.0,wide_40pct,0.4,0.018914,0.003003,0.3,-0.284089,0.063,0.001001,False
0x42d4a22cad0f5a49681a5715ce994af73a43b76b,aerodrome,cbBTC / WETH 0.05%,cbBTC,WETH,5,3341213.7187,42129739.5164709,1.001,MEDIUM,5.0,wide_40pct,0.4,0.031523,0.005005,0.3,-0.273482,0.1051,0.001001,False
0x42d4a22cad0f5a49681a5715ce994af73a43b76b,aerodrome,cbBTC / WETH 0.05%,cbBTC,WETH,5,3341213.7187,42129739.5164709,1.001,MEDIUM,10.0,wide_40pct,0.4,0.063046,0.01001,0.3,-0.246964,0.2102,0.001001,False
