pool_id,window,block_number,tx_hash,log_index,sender,recipient,amount0,amount1,tick
0xf2688Fb5B81049DFB7703aDa5e770543770612C4,72h,101759076,0xcd39147563e0ac39242fabee2497c5e66d8f68ac84552006af486a6df93dff9b,23,0x9999b0cdd35d7f3b281ba02efc0d228486940515,0x9999b0cdd35d7f3b281ba02efc0d228486940515,817841474059296952568,-1182033757258616982,-65397
0xf2688Fb5B81049DFB7703aDa5e770543770612C4,72h,101759076,0xcd39147563e0ac39242fabee2497c5e66d8f68ac84552006af486a6df93dff9b,26,0x9999b0cdd35d7f3b281ba02efc0d228486940515,0x9999b0cdd35d7f3b281ba02efc0d228486940515,47547514007377648,-68719920495250,-65397
0xf2688Fb5B81049DFB7703aDa5e770543770612C4,72h,101759076,0x64b99d11c38c9c880239e87fad9c6987e9443e80b2124286fc11b8c32d63ba7a,268,0xf1afd3bbeefe61042b2b29f42d65f71ac5bc881e,0xf1afd3bbeefe61042b2b29f42d65f71ac5bc881e,5805502405670638720,-8390630576428284,-65397
0xf2688Fb5B81049DFB7703aDa5e770543770612C4,72h,101759077,0xb0b057e20946ef9b36602942a1d657bf9fe7f70aae59c503dc44e98e7a1b4a1b,35,0xf92aa5d589c78c199636867ea048a3ec64ac5d82,0x8f45b99bf65cdbf9bc0c0b4846d6a324d2de5314,27492550685882568359,-39734667624878000,-65397
0xf2688Fb5B81049DFB7703aDa5e770543770612C4,72h,101759080,0x0382e7b47c680fcc9282a89e0d9fcb6e06b94e9759f2103535b9bf6a0ad9960e,94,0x733ce7beed75a8c98268be0b05ec0e11359b5d38,0x733ce7beed75a8c98268be0b05ec0e11359b5d38,-1489156321131075879517,2152743446954562068,-65397
0xf2688Fb5B81049DFB7703aDa5e770543770612C4,72h,101759080,0x801053d94667d9dd1a2b2c44ce1aedd9c3089dcbda4c8f676d0006a38416721e,143,0x1b81d678ffb9c0263b24a97847620c99d213eb14,0xc3f44f5cbce27e19f02e66d0584b24767bc6c8be,-199780127335956132641,288812834842380416,-65397
0xf2688Fb5B81049DFB7703aDa5e770543770612C4,72h,101759081,0x2654bd0ddcc3de1235c04d71d96ddf0b9242d8ba0e7bd1c579291f66a627a389,56,0x4b73a63dad1cf8475cd3e42471372d829381a4e2,0x4b73a63dad1cf8475cd3e42471372d829381a4e2,5856419325030669158,-8464687089842933,-65397
0xf2688Fb5B81049DFB7703aDa5e770543770612C4,72h,101759082,0x2abe7d317890a0ef1bb2ec7ff6f88c76ae962ead7872e3b0c4306724c6f55076,12,0x4b1b2ea60cc20a171cb7eed8fe0de988f79651d2,0x4b1b2ea60cc20a171cb7eed8fe0de988f79651d2,14643101214637133000,-21164677699758085,-65397
0xf2688Fb5B81049DFB7703aDa5e770543770612C4,72h,101759082,0x2abe7d317890a0ef1bb2ec7ff6f88c76ae962ead7872e3b0c4306724c6f55076,24,0x4b1b2ea60cc20a171cb7eed8fe0de988f79651d2,0x4b1b2ea60cc20a171cb7eed8fe0de988f79651d2,39221323775566550000,-56689216294835808,-65397
0xf2688Fb5B81049DFB7703aDa5e770543770612C4,72h,101759090,0x6ae73b685890c77599073f1c17dcb65e49bd2d7425bbfc0ae9d638a75b03d074,132,0x0501f595d17dd90ff11a9873692ee3f8d478f4e5,0x3bfc3a8233a77d477712fbf7d6566fee669d9647,1988674840898823029,-2874363483127606,-65397
